steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.1,1,0.1,0.9
2,2,0.5,1,0.4,1.5
3,3,0.5,1,0.0,2.5
4,4,1.2000000000000002,1,0.7000000000000001,2.8
5,5,2.0,1,0.8,3.0
6,6,3.0,1,1.0,3.0
7,7,4.0,1,1.0,3.0
8,8,4.0,1,0.0,4.0
9,9,4.6,1,0.6000000000000001,4.4
10,10,4.8999999999999995,1,0.30000000000000004,5.1000000000000005
12,12,5.699999999999999,1,0.30000000000000004,6.300000000000001
14,14,6.999999999999999,1,0.8,7.000000000000001
17,17,8.399999999999999,1,0.9,8.600000000000001
20,20,9.799999999999997,1,0.2,10.200000000000003
25,25,11.999999999999996,1,0.0,13.000000000000004
30,30,13.399999999999995,1,0.7000000000000001,16.600000000000005
40,40,18.499999999999993,1,0.9,21.500000000000007
50,50,22.199999999999992,1,0.0,27.800000000000008
60,60,27.2,1,0.6000000000000001,32.800000000000004
70,70,32.3,1,0.8,37.7
80,80,36.39999999999999,1,0.30000000000000004,43.60000000000001
90,90,42.699999999999996,1,0.9,47.300000000000004
100,100,47.699999999999996,1,0.8,52.300000000000004
120,120,56.3,1,0.4,63.7
140,140,69.6,1,0.8,70.39999999999998
170,170,83.2,1,0.2,86.79999999999997
200,200,96.40000000000003,1,0.9,103.59999999999994
250,250,118.49999999999999,1,0.0,131.49999999999997
300,300,144.89999999999995,1,1.0,155.10000000000002
400,400,191.2,1,0.8,208.79999999999998
500,500,246.5000000000001,1,0.30000000000000004,253.49999999999986
600,600,296.3,1,0.8,303.69999999999993
700,700,346.30000000000024,1,0.30000000000000004,353.6999999999997
800,800,394.90000000000015,1,0.4,405.0999999999998
900,900,443.60000000000036,1,0.6000000000000001,456.3999999999996
1000,1000,490.10000000000076,1,0.7000000000000001,509.8999999999992
1200,1200,594.2000000000007,1,0.9,605.7999999999992
1400,1400,696.4000000000003,1,0.6000000000000001,703.5999999999996
1700,1700,838.5000000000007,1,0.5,861.4999999999992
2000,2000,986.4000000000013,1,0.8,1013.5999999999985
2500,2500,1235.0000000000025,1,0.9,1264.9999999999977
3000,3000,1468.2000000000032,1,0.5,1531.799999999997
4000,4000,1943.7000000000016,1,0.9,2056.2999999999993
5000,5000,2441.4000000000015,1,0.6000000000000001,2558.5999999999995
6000,6000,2931.199999999999,1,0.6000000000000001,3068.800000000002
7000,7000,3420.499999999998,1,0.0,3579.5000000000027
8000,8000,3928.099999999995,1,0.7000000000000001,4071.900000000006
9000,9000,4425.299999999997,1,0.4,4574.700000000006
10000,10000,4930.400000000008,1,0.7000000000000001,5069.599999999996
