steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.7480956472651896,1,0.7480956472651896,0.19999999999999996
2,2,1.379531163243464,1,0.6314355159782743,0.5999999999999999
3,3,1.9339981711069838,1,0.5544670078635199,0.9999999999999998
4,4,2.619050876293029,1,0.6850527051860452,1.2999999999999998
5,5,3.6232269239075583,1,1.0041760476145296,1.2999999999999998
6,6,3.8601161174401764,1,0.23688919353261823,2.0999999999999996
7,7,4.141498496221228,1,0.28138237878105204,2.9999999999999996
8,8,4.208020002877876,1,0.06652150665664788,3.8999999999999995
9,9,5.244983902839416,1,1.0369638999615398,3.9999999999999996
10,10,5.962726994890548,1,0.7177430920511318,4.3
12,12,5.9573276232699905,1,0.01116305108818566,6.0
14,14,6.947581111298573,1,0.2348149226420601,6.9
17,17,7.680895896216175,1,0.08638349996815535,9.200000000000001
20,20,8.874448967963495,1,0.6856386149764132,11.0
25,25,10.777275112029175,1,0.20443950794735355,14.200000000000001
30,30,15.062685615800559,1,0.5400916057271677,15.1
40,40,20.616618507705407,1,0.664363741049658,20.299999999999997
50,50,27.428745702884907,1,0.5265372420207947,23.6
60,60,33.60437667201914,1,0.23005668230090123,27.400000000000006
70,70,38.38207810839728,1,0.580259096957406,33.0
80,80,45.41242699267398,1,0.8677490148474909,36.00000000000001
90,90,51.0254242090457,1,0.708049549010695,40.900000000000006
100,100,56.72100810206475,1,0.5258347633905563,45.00000000000001
120,120,66.76641465933369,1,0.2591846892376493,54.40000000000001
140,140,78.37387093476829,1,0.6760240747416273,62.30000000000002
170,170,89.34078377625218,1,-0.056849980536070537,81.80000000000001
200,200,104.62638531930742,1,0.615477063480138,97.3
250,250,132.02259763193874,1,0.7666013233090064,119.70000000000005
300,300,151.13038270571914,1,0.30139653180794856,149.6
400,400,205.50111761415542,1,0.8715133035854064,195.99999999999991
500,500,257.7794956226234,1,0.6792414327296076,243.09999999999994
600,600,310.4741022571237,1,0.6822484188935685,290.8
700,700,369.0313744389352,1,0.7116167345403307,333.5000000000001
800,800,424.8284972517501,1,0.7526778336538594,378.2000000000002
900,900,474.49780592654275,1,0.4590096201135541,429.3000000000003
1000,1000,523.522721109664,1,0.9229883090363848,480.70000000000033
1200,1200,620.8539901995761,1,1.0816517018467975,584.2999999999997
1400,1400,718.6779391399471,1,0.9370578848146144,686.9999999999995
1700,1700,861.5152826649493,1,0.018869130538501075,840.6999999999998
2000,2000,1005.8197388275407,1,0.27601636436768084,997.4999999999998
2500,2500,1238.9040272468494,1,0.3316880198465368,1265.099999999999
3000,3000,1482.42672994793,1,0.26568594984736077,1520.3999999999985
4000,4000,1973.857386654923,1,0.8406243985173771,2029.900000000003
5000,5000,2461.0626322278617,1,0.9304003407214033,2538.2000000000066
6000,6000,2966.7171084457173,1,0.039146995885855684,3034.2000000000075
7000,7000,3476.948804043818,1,1.107726269913818,3522.2000000000016
8000,8000,3971.5581678654153,1,-0.13163590701485148,4027.3000000000056
9000,9000,4476.107823871673,1,0.6487714522252865,4523.600000000002
10000,10000,4986.972154042009,1,0.646443216849566,5010.800000000012
