steps,episode,total_return,episode_len,episode_return,total_regret
1,1,900.0,1,900.0,0.09999999999999998
2,2,1200.0,1,300.00000000000006,0.7999999999999999
3,3,1300.0,1,100.0,1.7
4,4,1600.0,1,300.00000000000006,2.4
5,5,1600.0,1,0.0,3.4
6,6,2400.0,1,800.0,3.5999999999999996
7,7,3100.0,1,700.0000000000001,3.8999999999999995
8,8,3700.0,1,600.0000000000001,4.299999999999999
9,9,4700.0,1,1000.0,4.299999999999999
10,10,5400.0,1,700.0000000000001,4.599999999999999
12,12,7100.0,1,900.0,4.899999999999999
14,14,9100.0,1,1000.0,4.899999999999999
17,17,10600.0,1,500.0,6.399999999999999
20,20,12300.0,1,1000.0,7.699999999999998
25,25,15900.0,1,600.0000000000001,9.099999999999998
30,30,19300.0,1,1000.0,10.7
40,40,23500.0,1,400.0,16.5
50,50,27500.0,1,300.00000000000006,22.499999999999996
60,60,33400.0,1,200.0,26.599999999999998
70,70,38600.0,1,600.0000000000001,31.399999999999995
80,80,43500.0,1,600.0000000000001,36.49999999999999
90,90,49000.0,1,1000.0,40.999999999999986
100,100,52100.0,1,0.0,47.899999999999984
120,120,62200.0,1,400.0,57.79999999999998
140,140,70500.0,1,800.0,69.49999999999999
170,170,84300.0,1,600.0000000000001,85.69999999999999
200,200,98900.0,1,100.0,101.10000000000002
250,250,120100.0,1,500.0,129.9000000000001
300,300,144500.0,1,200.0,155.50000000000003
400,400,202500.0,1,200.0,197.50000000000009
500,500,246300.0,1,300.00000000000006,253.70000000000007
600,600,296000.0,1,200.0,304.0
700,700,341300.0,1,300.00000000000006,358.7000000000003
800,800,389500.0,1,500.0,410.50000000000017
900,900,434700.0,1,300.00000000000006,465.3
1000,1000,490000.0,1,600.0000000000001,509.99999999999994
1200,1200,584600.0,1,300.00000000000006,615.3999999999996
1400,1400,690500.0,1,800.0,709.5000000000001
1700,1700,838500.0,1,1000.0,861.5000000000002
2000,2000,983100.0,1,500.0,1016.8999999999997
2500,2500,1244100.0,1,600.0000000000001,1255.9
3000,3000,1488800.0,1,800.0,1511.2000000000005
4000,4000,1995800.0,1,600.0000000000001,2004.2000000000007
5000,5000,2494500.0,1,900.0,2505.500000000004
6000,6000,2985300.0,1,200.0,3014.700000000006
7000,7000,3496900.0,1,1000.0,3503.1000000000054
8000,8000,3987400.0,1,200.0,4012.600000000004
9000,9000,4495300.0,1,600.0000000000001,4504.700000000004
10000,10000,5006200.0,1,900.0,4993.799999999995
