steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.004,10,-0.004,1,0.0
20,2,-0.006,10,-0.002,2,0.0
30,3,-0.010000000000000002,10,-0.004,3,0.0
40,4,-0.014000000000000005,10,-0.004,4,0.0
50,5,-0.017000000000000008,10,-0.003,5,0.0
60,6,-0.025000000000000015,10,-0.008,6,0.0
70,7,-0.03000000000000002,10,-0.005,7,0.0
80,8,-0.03100000000000002,10,-0.001,8,0.0
90,9,-0.035000000000000024,10,-0.004,9,0.0
100,10,-0.04100000000000003,10,-0.006,10,0.0
120,12,-0.04900000000000004,10,-0.005,12,0.0
140,14,-0.06400000000000004,10,-0.008,14,0.0
170,17,-0.08000000000000006,10,-0.003,17,0.0
200,20,-0.09400000000000007,10,-0.005,20,0.0
250,25,-0.1210000000000001,10,-0.005,25,0.0
300,30,-0.1440000000000001,10,-0.004,30,0.0
400,40,-0.19200000000000014,10,-0.004,40,0.0
500,50,-0.2410000000000002,10,-0.004,50,0.0
600,60,-0.2910000000000002,10,-0.004,60,0.0
700,70,-0.33800000000000024,10,-0.005,70,0.0
800,80,-0.3850000000000003,10,-0.006,80,0.0
900,90,-0.43300000000000033,10,-0.004,90,0.0
1000,100,-0.4850000000000004,10,-0.007,100,0.0
1200,120,-0.5860000000000004,10,-0.006,120,0.0
1400,140,-0.6890000000000005,10,-0.006,140,0.0
1700,170,-0.8370000000000006,10,-0.005,170,0.0
2000,200,-1.0099999999999996,10,-0.008,200,0.0
2500,250,-1.2639999999999716,10,-0.005,250,0.0
3000,300,-1.5129999999999442,10,-0.006,300,0.0
4000,400,-2.00499999999989,10,-0.005,400,0.0
5000,500,-2.505999999999835,10,-0.007,500,0.0
6000,600,-2.9999999999997806,10,-0.006,600,0.0
7000,700,-3.4929999999997263,10,-0.003,700,0.0
8000,800,-3.9719999999996736,10,-0.004,800,0.0
9000,900,-4.431999999999815,10,-0.006,900,0.0
10000,1000,-4.918999999999977,10,-0.005,1000,0.0
12000,1200,-5.904000000000306,10,-0.005,1200,0.0
14000,1400,-5.897000000000638,10,-0.005,1399,1.0
17000,1700,-7.374000000001131,10,-0.004,1699,1.0
20000,2000,-8.881000000000851,10,-0.006,1999,1.0
25000,2500,-11.387999999999462,10,-0.004,2499,1.0
30000,3000,-12.889999999998075,10,-0.003,2998,2.0
40000,4000,-15.852999999995324,10,-0.004,3996,4.0
50000,5000,-19.8740000000012,10,-0.005,4995,5.0
60000,6000,-25.25900000000778,10,-0.005,5995,5.0
70000,7000,-29.391000000014053,10,-0.005,6994,6.0
80000,8000,-30.904000000015902,10,-0.002,7994,6.0
90000,9000,-34.80100000001071,10,-0.005,8994,6.0
100000,10000,-35.6200000000088,10,0.0,9994,6.0
