steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
7,1,1.0,7,1.0,1,0.0
14,2,2.0,7,1.0,2,0.0
21,3,3.0,7,1.0,3,0.0
28,4,2.0,7,-1.0,3,2.0
35,5,1.0,7,-1.0,3,4.0
42,6,2.0,7,1.0,4,4.0
49,7,3.0,7,1.0,5,4.0
56,8,2.0,7,-1.0,5,6.0
63,9,3.0,7,1.0,6,6.0
70,10,4.0,7,1.0,7,6.0
84,12,2.0,7,-1.0,7,10.0
98,14,0.0,7,-1.0,7,14.0
119,17,-3.0,7,-1.0,7,20.0
140,20,-4.0,7,-1.0,8,24.0
175,25,-9.0,7,-1.0,8,34.0
210,30,-10.0,7,-1.0,10,40.0
280,40,-10.0,7,1.0,15,50.0
350,50,-8.0,7,1.0,21,58.0
420,60,-8.0,7,1.0,26,68.0
490,70,-6.0,7,1.0,32,76.0
560,80,-4.0,7,1.0,38,84.0
630,90,-2.0,7,1.0,44,92.0
700,100,-2.0,7,-1.0,49,102.0
840,120,-2.0,7,-1.0,59,122.0
980,140,-4.0,7,-1.0,68,144.0
1190,170,-6.0,7,-1.0,82,176.0
1400,200,-10.0,7,1.0,95,210.0
1750,250,-10.0,7,1.0,120,260.0
2100,300,4.0,7,-1.0,152,296.0
2800,400,-8.0,7,-1.0,196,408.0
3500,500,-20.0,7,1.0,240,520.0
4200,600,-30.0,7,-1.0,285,630.0
4900,700,-32.0,7,-1.0,334,732.0
5600,800,-30.0,7,-1.0,385,830.0
6300,900,-46.0,7,1.0,427,946.0
7000,1000,-42.0,7,1.0,479,1042.0
8400,1200,-52.0,7,1.0,574,1252.0
9800,1400,-18.0,7,1.0,691,1418.0
11900,1700,-22.0,7,-1.0,839,1722.0
14000,2000,-14.0,7,-1.0,993,2014.0
17500,2500,-24.0,7,-1.0,1238,2524.0
21000,3000,-44.0,7,1.0,1478,3044.0
28000,4000,-50.0,7,1.0,1975,4050.0
35000,5000,-120.0,7,-1.0,2440,5120.0
42000,6000,-102.0,7,-1.0,2949,6102.0
49000,7000,-64.0,7,-1.0,3468,7064.0
56000,8000,-62.0,7,1.0,3969,8062.0
63000,9000,-38.0,7,1.0,4481,9038.0
70000,10000,-66.0,7,-1.0,4967,10066.0
