steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-3.0,3,-1.0,0,6.0
12,4,-2.0,3,1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,1.0,3,1.0,4,6.0
24,8,0.0,3,-1.0,4,8.0
27,9,1.0,3,1.0,5,8.0
30,10,2.0,3,1.0,6,8.0
36,12,0.0,3,-1.0,6,12.0
42,14,0.0,3,1.0,7,14.0
51,17,-1.0,3,-1.0,8,18.0
60,20,-2.0,3,-1.0,9,22.0
75,25,-3.0,3,1.0,11,28.0
90,30,-2.0,3,-1.0,14,32.0
120,40,2.0,3,1.0,21,38.0
150,50,4.0,3,-1.0,27,46.0
180,60,4.0,3,1.0,32,56.0
210,70,6.0,3,1.0,38,64.0
240,80,8.0,3,1.0,44,72.0
270,90,6.0,3,1.0,48,84.0
300,100,6.0,3,-1.0,53,94.0
360,120,0.0,3,1.0,60,120.0
420,140,-4.0,3,-1.0,68,144.0
510,170,-6.0,3,-1.0,82,176.0
600,200,-14.0,3,1.0,93,214.0
750,250,-4.0,3,1.0,123,254.0
900,300,-8.0,3,1.0,146,308.0
1200,400,12.0,3,-1.0,206,388.0
1500,500,18.0,3,1.0,259,482.0
1800,600,34.0,3,-1.0,317,566.0
2100,700,36.0,3,1.0,368,664.0
2400,800,32.0,3,1.0,416,768.0
2700,900,40.0,3,-1.0,470,860.0
3000,1000,40.0,3,1.0,520,960.0
3600,1200,64.0,3,1.0,632,1136.0
4200,1400,72.0,3,1.0,736,1328.0
5100,1700,102.0,3,-1.0,901,1598.0
6000,2000,106.0,3,-1.0,1053,1894.0
7500,2500,108.0,3,1.0,1304,2392.0
9000,3000,126.0,3,-1.0,1563,2874.0
12000,4000,114.0,3,1.0,2057,3886.0
15000,5000,116.0,3,-1.0,2558,4884.0
18000,6000,118.0,3,1.0,3059,5882.0
21000,7000,94.0,3,1.0,3547,6906.0
24000,8000,70.0,3,-1.0,4035,7930.0
27000,9000,58.0,3,1.0,4529,8942.0
30000,10000,58.0,3,1.0,5029,9942.0
