steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-999.0642699855769,1000,-999.0642699855769,-1000.0
2000,2,-2001.964514966117,1000,-1002.9002449805414,-2000.0
3000,3,-3002.959730812188,1000,-1000.9952158460728,-3000.0
4000,4,-4003.455817132471,1000,-1000.4960863202871,-4000.0
5000,5,-5002.503805486559,1000,-999.0479883540855,-5000.0
6000,6,-5998.713411682905,1000,-996.2096061963493,-6000.0
7000,7,-6996.644314225081,1000,-997.9309025421712,-7000.0
8000,8,-7992.8592139774555,1000,-996.214899752383,-8000.0
9000,9,-8989.192558620778,1000,-996.3333446432896,-9000.0
10000,10,-9988.61659669599,1000,-999.4240380751955,-10000.0
12000,12,-11989.697627623258,1000,-1004.6154903143284,-12000.0
14000,14,-13992.560264198613,1000,-1000.8073028473011,-14000.0
17000,17,-16992.483749034785,1000,-999.6708431196328,-17000.0
20000,20,-19986.176687863313,1000,-997.4195256471579,-20000.0
25000,25,-24987.380537008503,1000,-998.249156006097,-25000.0
30000,30,-29987.52032048695,1000,-1005.2984033389085,-30000.0
40000,40,-39985.94111649801,1000,-1001.4226506417322,-40000.0
50000,50,-49982.44627651082,1000,-997.9219153444748,-50000.0
60000,60,-59985.87396382225,1000,-1002.3067310203497,-60000.0
69864,70,-69853.2776597598,864,-862.6967238316537,-69864.0
78941,80,-78923.49082058799,607,-604.9777186046641,-78941.0
88371,90,-88351.37821419117,1000,-1003.1004570923936,-88371.0
97355,100,-97328.82395427827,1000,-997.8525771910072,-97355.0
114463,120,-114432.40598022025,1000,-999.9175345104992,-114463.0
130943,140,-130900.04920322014,1000,-996.0257956373098,-130943.0
155174,170,-155118.16215491862,576,-575.9858282633741,-155174.0
178503,200,-178433.6529532002,632,-628.6548291607136,-178503.0
210873,250,-210833.05405076998,808,-809.8169883974631,-210873.0
244412,300,-244371.519720439,388,-387.2283640382284,-244412.0
297976,400,-297940.8768806979,207,-205.25899717918432,-297976.0
355530,500,-355462.84467784164,465,-460.7107218252068,-355530.0
408235,600,-408159.8665417549,224,-225.43947084968892,-408235.0
457842,700,-457764.4110797384,416,-412.4785670059368,-457842.0
501539,800,-501433.0364606559,1000,-995.3748195992741,-501539.0
540719,900,-540618.8822528253,750,-749.1718594957423,-540719.0
576504,1000,-576408.9084974753,108,-107.52469930955833,-576504.0
643683,1200,-643509.2119877219,365,-362.3769340056863,-643683.0
704348,1400,-704174.9106370682,398,-399.54014020546316,-704348.0
806711,1700,-806557.6391414952,342,-342.38405985890194,-806711.0
915159,2000,-915003.0714558482,250,-252.62771876966326,-915159.0
