steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-2.0,20,-2.0,0.0
40,2,-4.0,20,-2.0,2.0
60,3,0.0,20,4.0,4.0
80,4,4.0,20,4.0,4.0
100,5,2.0,20,-2.0,6.0
120,6,0.0,20,-2.0,8.0
140,7,0.0,20,0.0,8.0
160,8,-4.0,20,-4.0,10.0
180,9,0.0,20,4.0,12.0
200,10,-6.0,20,-6.0,12.0
240,12,0.0,20,2.0,14.0
280,14,4.0,20,2.0,16.0
340,17,-2.0,20,-4.0,20.0
400,20,-4.0,20,-2.0,24.0
500,25,-10.0,20,-4.0,30.0
600,30,-14.0,20,0.0,34.0
800,40,4.0,20,8.0,48.0
1000,50,8.0,20,2.0,56.0
1200,60,8.0,20,4.0,70.0
1400,70,22.0,20,6.0,82.0
1600,80,6.0,20,0.0,96.0
1800,90,2.0,20,0.0,104.0
2000,100,-8.0,20,0.0,114.0
2400,120,-40.0,20,-4.0,136.0
2800,140,-22.0,20,0.0,156.0
3400,170,-40.0,20,4.0,188.0
4000,200,-54.0,20,0.0,226.0
5000,250,-54.0,20,8.0,270.0
6000,300,-116.0,20,-2.0,328.0
8000,400,-188.0,20,0.0,426.0
10000,500,-140.0,20,6.0,522.0
12000,600,-62.0,20,-2.0,620.0
14000,700,-52.0,20,6.0,724.0
16000,800,-62.0,20,-10.0,824.0
18000,900,-208.0,20,0.0,920.0
20000,1000,-170.0,20,-2.0,1002.0
24000,1200,-94.0,20,4.0,1238.0
28000,1400,-92.0,20,4.0,1420.0
34000,1700,-82.0,20,2.0,1734.0
40000,2000,-122.0,20,2.0,2018.0
50000,2500,-6.0,20,4.0,2510.0
60000,3000,76.0,20,0.0,3030.0
80000,4000,374.0,20,10.0,3896.0
100000,5000,632.0,20,-10.0,4798.0
120000,6000,728.0,20,-4.0,5802.0
140000,7000,778.0,20,2.0,6708.0
160000,8000,1396.0,20,-4.0,6990.0
180000,9000,1754.0,20,0.0,7684.0
200000,10000,2212.0,20,0.0,8196.0
