steps,episode,total_return,episode_len,episode_return,total_regret
6,1,4.0,6,4.0,0.0
12,2,2.0,6,-2.0,2.0
18,3,6.0,6,4.0,4.0
24,4,6.0,6,0.0,6.0
30,5,6.0,6,0.0,6.0
36,6,6.0,6,0.0,8.0
42,7,6.0,6,0.0,10.0
48,8,4.0,6,-2.0,12.0
54,9,2.0,6,-2.0,12.0
60,10,-4.0,6,-6.0,14.0
72,12,-4.0,6,0.0,14.0
84,14,-6.0,6,-2.0,14.0
102,17,-6.0,6,0.0,16.0
120,20,0.0,6,4.0,18.0
150,25,0.0,6,4.0,26.0
180,30,8.0,6,2.0,34.0
240,40,2.0,6,2.0,48.0
300,50,18.0,6,2.0,60.0
360,60,10.0,6,-2.0,72.0
420,70,8.0,6,2.0,76.0
480,80,14.0,6,0.0,84.0
540,90,26.0,6,0.0,90.0
600,100,20.0,6,-2.0,100.0
720,120,16.0,6,-6.0,132.0
840,140,-2.0,6,-4.0,154.0
1020,170,6.0,6,2.0,184.0
1200,200,2.0,6,0.0,216.0
1500,250,-20.0,6,0.0,272.0
1800,300,-6.0,6,4.0,322.0
2400,400,40.0,6,2.0,408.0
3000,500,76.0,6,0.0,498.0
3600,600,68.0,6,0.0,604.0
4200,700,76.0,6,0.0,698.0
4800,800,92.0,6,2.0,816.0
5400,900,62.0,6,2.0,926.0
6000,1000,26.0,6,2.0,1054.0
7200,1200,44.0,6,2.0,1244.0
8400,1400,32.0,6,-2.0,1458.0
10200,1700,46.0,6,2.0,1770.0
12000,2000,62.0,6,-2.0,2094.0
15000,2500,-2.0,6,-4.0,2598.0
18000,3000,-54.0,6,-2.0,3088.0
24000,4000,-110.0,6,-2.0,4098.0
30000,5000,54.0,6,4.0,5074.0
36000,6000,14.0,6,2.0,6100.0
42000,7000,-78.0,6,-2.0,7154.0
48000,8000,38.0,6,-2.0,8106.0
54000,9000,-78.0,6,-2.0,9148.0
60000,10000,-146.0,6,2.0,10210.0
