steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.1,1,0.1,0.9
2,2,0.7000000000000001,1,0.6000000000000001,1.2999999999999998
3,3,1.3000000000000003,1,0.6000000000000001,1.6999999999999997
4,4,2.2,1,0.9,1.7999999999999998
5,5,2.9000000000000004,1,0.7000000000000001,2.0999999999999996
6,6,3.6000000000000005,1,0.7000000000000001,2.3999999999999995
7,7,3.9000000000000004,1,0.30000000000000004,3.0999999999999996
8,8,4.800000000000001,1,0.9,3.1999999999999997
9,9,5.700000000000001,1,0.9,3.3
10,10,6.600000000000001,1,0.9,3.4
12,12,8.100000000000001,1,1.0,3.9
14,14,9.100000000000001,1,0.6000000000000001,4.9
17,17,11.900000000000002,1,0.9,5.1
20,20,13.200000000000001,1,0.1,6.8
25,25,16.200000000000003,1,0.9,8.799999999999999
30,30,19.599999999999998,1,0.9,10.4
40,40,24.699999999999996,1,0.7000000000000001,15.299999999999999
50,50,32.599999999999994,1,0.8,17.4
60,60,40.09999999999999,1,0.30000000000000004,19.900000000000002
70,70,46.099999999999994,1,1.0,23.900000000000006
80,80,53.49999999999998,1,0.8,26.50000000000001
90,90,60.89999999999998,1,0.8,29.100000000000012
100,100,68.8,1,0.9,31.20000000000002
120,120,86.70000000000006,1,0.8,33.30000000000004
140,140,104.60000000000014,1,0.9,35.400000000000055
170,170,129.4000000000002,1,1.0,40.60000000000008
200,200,155.7000000000003,1,0.5,44.300000000000104
250,250,200.4000000000005,1,0.8,49.60000000000015
300,300,246.9000000000006,1,0.9,53.10000000000018
400,400,345.3000000000003,1,1.0,54.7000000000002
500,500,444.5000000000002,1,1.0,55.500000000000206
600,600,543.4000000000001,1,1.0,56.600000000000215
700,700,643.2,1,1.0,56.80000000000022
800,800,742.7,1,1.0,57.30000000000022
900,900,842.6,1,1.0,57.40000000000022
1000,1000,942.6,1,1.0,57.40000000000022
1200,1200,1141.7000000000003,1,1.0,58.300000000000225
1400,1400,1341.0000000000002,1,1.0,59.00000000000023
1700,1700,1640.7000000000003,1,1.0,59.30000000000023
2000,2000,1940.7000000000003,1,1.0,59.30000000000023
2500,2500,2440.3,1,1.0,59.70000000000023
3000,3000,2940.2000000000003,1,1.0,59.80000000000023
4000,4000,3939.3,1,1.0,60.70000000000023
5000,5000,4939.3,1,1.0,60.70000000000023
6000,6000,5938.5,1,1.0,61.50000000000023
7000,7000,6938.5,1,1.0,61.50000000000023
8000,8000,7938.3,1,1.0,61.70000000000023
9000,9000,8938.3,1,1.0,61.70000000000023
10000,10000,9938.3,1,1.0,61.70000000000023
