steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.00030000000000000003,1,0.00030000000000000003,0.7
2,2,0.0011,1,0.0008,0.8999999999999999
3,3,0.0012000000000000001,1,0.0001,1.7999999999999998
4,4,0.0018000000000000002,1,0.0006000000000000001,2.1999999999999997
5,5,0.0023,1,0.0005,2.6999999999999997
6,6,0.0026,1,0.00030000000000000003,3.3999999999999995
7,7,0.0028,1,0.0002,4.199999999999999
8,8,0.0038,1,0.001,4.199999999999999
9,9,0.0043,1,0.0005,4.699999999999999
10,10,0.0053,1,0.001,4.699999999999999
12,12,0.006,1,0.0006000000000000001,6.0
14,14,0.007600000000000001,1,0.0008,6.4
17,17,0.009000000000000001,1,0.0004,8.0
20,20,0.0103,1,0.0001,9.7
25,25,0.011499999999999998,1,0.0002,13.5
30,30,0.014099999999999998,1,0.001,15.899999999999999
40,40,0.02,1,0.0004,20.0
50,50,0.0256,1,0.0007000000000000001,24.400000000000002
60,60,0.029800000000000004,1,0.0006000000000000001,30.199999999999996
70,70,0.03380000000000001,1,0.00030000000000000003,36.20000000000001
80,80,0.03820000000000003,1,0.0008,41.80000000000001
90,90,0.04480000000000003,1,0.0007000000000000001,45.20000000000001
100,100,0.04930000000000003,1,0.00030000000000000003,50.7
120,120,0.060300000000000055,1,0.0001,59.699999999999996
140,140,0.06870000000000007,1,0.0006000000000000001,71.30000000000001
170,170,0.08310000000000009,1,0.0008,86.90000000000002
200,200,0.09890000000000013,1,0.0007000000000000001,101.10000000000004
250,250,0.12470000000000019,1,0.0004,125.30000000000004
300,300,0.1469000000000002,1,0.0,153.10000000000002
400,400,0.19970000000000018,1,0.0008,200.29999999999995
500,500,0.25230000000000025,1,0.0009000000000000001,247.7
600,600,0.3017000000000002,1,0.0006000000000000001,298.2999999999999
700,700,0.3530000000000004,1,0.0009000000000000001,346.9999999999997
800,800,0.4026000000000003,1,0.0009000000000000001,397.39999999999947
900,900,0.44910000000000033,1,0.001,450.89999999999907
1000,1000,0.5017000000000004,1,0.0001,498.2999999999988
1200,1200,0.5999999999999995,1,0.0009000000000000001,599.9999999999989
1400,1400,0.7060999999999988,1,0.0002,693.8999999999984
1700,1700,0.8549999999999971,1,0.0005,844.9999999999985
2000,2000,1.0062999999999949,1,0.0005,993.6999999999985
2500,2500,1.2643999999999664,1,0.0007000000000000001,1235.599999999999
3000,3000,1.523599999999938,1,0.0001,1476.3999999999978
4000,4000,2.0205999999998876,1,0.001,1979.4000000000005
5000,5000,2.5317999999999214,1,0.0001,2468.1999999999975
6000,6000,3.061799999999956,1,0.0008,2938.2000000000003
7000,7000,3.6078999999999914,1,0.0008,3392.0999999999904
8000,8000,4.127000000000037,1,0.0001,3872.999999999988
9000,9000,4.6914000000000735,1,0.001,4308.599999999962
10000,10000,5.31050000000013,1,0.001,4689.49999999994
