steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.006500000000000002,20,-0.006500000000000002,1,0
40,2,-0.011000000000000006,20,-0.0045000000000000005,2,0
60,3,-0.01500000000000001,20,-0.004,3,0
80,4,-0.019000000000000013,20,-0.004,4,0
100,5,-0.02450000000000002,20,-0.005500000000000001,5,0
120,6,-0.031000000000000024,20,-0.006500000000000002,6,0
140,7,-0.034500000000000024,20,-0.0035,7,0
160,8,-0.03850000000000003,20,-0.004,8,0
180,9,-0.04450000000000003,20,-0.006000000000000002,9,0
200,10,-0.04950000000000004,20,-0.005000000000000001,10,0
240,12,-0.060000000000000046,20,-0.005000000000000001,12,0
280,14,-0.07000000000000005,20,-0.005500000000000001,14,0
340,17,-0.08500000000000006,20,-0.0045000000000000005,17,0
400,20,-0.09850000000000007,20,-0.003,20,0
500,25,-0.11800000000000009,20,-0.005500000000000001,25,0
600,30,-0.1405000000000001,20,-0.005500000000000001,30,0
800,40,-0.19200000000000014,20,-0.003,40,0
1000,50,-0.24050000000000019,20,-0.004,50,0
1200,60,-0.2975000000000002,20,-0.005500000000000001,60,0
1400,70,-0.34600000000000025,20,-0.005500000000000001,70,0
1600,80,-0.4000000000000003,20,-0.005000000000000001,80,0
1800,90,-0.44700000000000034,20,-0.005000000000000001,90,0
2000,100,-0.4995000000000004,20,-0.007000000000000003,100,0
2400,120,-0.6069999999999885,20,-0.0045000000000000005,120,0
2800,140,-0.6984999999999785,20,-0.0045000000000000005,140,0
3400,170,-0.8539999999999613,20,-0.005500000000000001,170,0
4000,200,-1.0044999999999449,20,-0.005500000000000001,200,0
5000,250,-1.2589999999999169,20,-0.004,250,0
6000,300,-1.50299999999989,20,-0.005000000000000001,300,0
8000,400,-2.001999999999836,20,-0.006000000000000002,400,0
10000,500,-2.505000000000004,20,-0.0035,500,0
12000,600,-2.987000000000165,20,-0.005500000000000001,600,0
14000,700,-3.48150000000033,20,-0.005000000000000001,700,0
16000,800,-3.954000000000488,20,-0.006000000000000002,800,0
18000,900,-4.43750000000026,20,-0.007500000000000003,900,0
20000,1000,-4.901000000000003,20,-0.004,1000,0
24000,1200,-5.8099999999995,20,-0.0045000000000000005,1200,0
28000,1400,-6.605999999999058,20,-0.002,1400,0
34000,1700,-7.339999999998652,20,-0.0015,1700,0
40000,2000,-7.589499999998513,20,0.0,2000,0
50000,2500,-7.633499999998489,20,-0.0005,2500,0
60000,3000,-7.647499999998481,20,0.0,3000,0
80000,4000,-7.654999999998477,20,0.0,4000,0
100000,5000,-7.657999999998475,20,0.0,5000,0
120000,6000,-7.659999999998474,20,0.0,6000,0
140000,7000,-7.661999999998473,20,0.0,7000,0
160000,8000,-7.663999999998472,20,0.0,8000,0
180000,9000,-7.663999999998472,20,0.0,9000,0
200000,10000,-7.663999999998472,20,0.0,10000,0
