steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,-0.004999999999999999,50,-0.004999999999999999,1,0
100,2,-0.786493785563842,50,-0.781493785563842,2,0
150,3,-0.8185968785982584,50,-0.03210309303441674,3,0
200,4,-0.8241968785982577,50,-0.005599999999999998,4,0
250,5,-0.8287968785982572,50,-0.0046,5,0
300,6,-0.8341968785982566,50,-0.0053999999999999986,6,0
350,7,-0.8389968785982561,50,-0.0048,7,0
400,8,-0.8435968785982556,50,-0.0046,8,0
450,9,-0.8467968785982553,50,-0.003200000000000001,9,0
500,10,-0.8521968785982547,50,-0.0053999999999999986,10,0
600,12,-0.8629968785982535,50,-0.005599999999999998,12,0
700,14,-0.8733968785982523,50,-0.004200000000000001,14,0
850,17,-0.8893968785982506,50,-0.0046,17,0
1000,20,-0.9041968785982489,50,-0.0048,19,0
1250,25,-0.9297968785982461,50,-0.005799999999999998,24,0
1500,30,0.042065739513325394,50,-0.004999999999999999,29,0
2000,40,1.5779713644312505,50,-0.004200000000000001,39,0
2500,50,1.3266223121258807,50,-0.0048,49,0
3000,60,1.2693238744478113,50,-0.0048,59,0
3500,70,0.5044790581698572,50,-0.003200000000000001,69,0
4000,80,0.24635754042661603,50,-0.19497940756045803,79,0
4500,90,0.6223467505474372,50,-0.006799999999999996,89,0
5000,100,0.40260226719886405,50,-0.005599999999999998,98,0
6000,120,0.5549600244126955,50,-0.004999999999999999,118,0
7000,140,0.31002169127697576,50,-0.0053999999999999986,138,0
8500,170,1.1653845426438392,50,-0.03250229875247047,168,0
10000,200,1.8559303847270145,50,-0.006399999999999997,198,0
12500,250,2.0319465979772118,50,-0.0046,248,0
15000,300,6.0129417189123195,50,-0.005799999999999998,298,0
20000,400,11.561406965703377,50,-0.005799999999999998,397,0
25000,500,14.302585023210145,50,-0.0065999999999999965,494,0
30000,600,8.41593672880054,50,-0.0053999999999999986,592,0
35000,700,9.970796327473334,50,-0.004999999999999999,690,0
40000,800,4.696120034063938,50,-0.0044,789,0
45000,900,-1.5159034980909403,50,-0.004200000000000001,888,0
50000,1000,-3.0136846710066822,50,-0.0048,986,0
60000,1200,-5.747728945910212,50,-0.0048,1182,0
70000,1400,-8.132509742827029,50,-0.006199999999999997,1376,0
85000,1700,-6.429841639301116,50,-0.006199999999999997,1667,0
100000,2000,-9.498423693387469,50,-0.0053999999999999986,1959,0
125000,2500,0.37248996029312287,50,1.4845833792208998,2451,0
150000,3000,-18.594357670642633,50,-0.0022000000000000006,2947,0
200000,4000,-24.426338994987326,50,-0.001,3947,0
250000,5000,-25.40561147680025,50,-0.0008,4947,0
300000,6000,-26.223211476798344,50,-0.0008,5947,0
350000,7000,-27.03601147679645,50,-0.0008,6947,0
400000,8000,-27.693253771799597,50,-0.0008,7947,0
450000,9000,-28.505053771797705,50,-0.0008,8947,0
500000,10000,-30.81649352674653,50,-0.0008,9947,0
