steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.199999999999999,100,1.1
600,6,6.199999999999999,100,1.0
700,7,7.199999999999999,100,1.0
800,8,8.299999999999999,100,1.1
900,9,9.299999999999999,100,1.0
1000,10,10.399999999999999,100,1.1
1200,12,12.499999999999998,100,1.0
1400,14,14.499999999999998,100,1.0
1700,17,17.7,100,1.1
2000,20,20.8,100,1.0
2500,25,25.900000000000002,100,1.0
3000,30,31.000000000000004,100,1.0
4000,40,41.300000000000004,100,1.1
5000,50,51.400000000000006,100,1.0
6000,60,61.400000000000006,100,1.0
7000,70,71.4,100,1.0
8000,80,81.4,100,1.0
9000,90,91.4,100,1.0
10000,100,101.4,100,1.0
12000,120,121.4,100,1.0
14000,140,141.4,100,1.0
17000,170,171.4,100,1.0
20000,200,201.4,100,1.0
25000,250,251.4,100,1.0
30000,300,301.4,100,1.0
40000,400,401.4,100,1.0
50000,500,501.4,100,1.0
60000,600,601.4,100,1.0
70000,700,701.4,100,1.0
80000,800,801.4,100,1.0
90000,900,901.4,100,1.0
100000,1000,1001.4,100,1.0
