steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
2,1,1.0,2,1.0,1,0.0
4,2,0.0,2,-1.0,1,2.0
6,3,-1.0,2,-1.0,1,4.0
8,4,-2.0,2,-1.0,1,6.0
10,5,-3.0,2,-1.0,1,8.0
12,6,-2.0,2,1.0,2,8.0
14,7,-1.0,2,1.0,3,8.0
16,8,0.0,2,1.0,4,8.0
18,9,1.0,2,1.0,5,8.0
20,10,2.0,2,1.0,6,8.0
24,12,0.0,2,-1.0,6,12.0
28,14,2.0,2,1.0,8,12.0
34,17,5.0,2,1.0,11,12.0
40,20,8.0,2,1.0,14,12.0
50,25,11.0,2,1.0,18,14.0
60,30,14.0,2,1.0,22,16.0
80,40,22.0,2,1.0,31,18.0
100,50,32.0,2,1.0,41,18.0
120,60,40.0,2,1.0,50,20.0
140,70,46.0,2,1.0,58,24.0
160,80,56.0,2,1.0,68,24.0
180,90,66.0,2,1.0,78,24.0
200,100,76.0,2,1.0,88,24.0
240,120,96.0,2,1.0,108,24.0
280,140,114.0,2,1.0,127,26.0
340,170,144.0,2,1.0,157,26.0
400,200,174.0,2,1.0,187,26.0
500,250,220.0,2,1.0,235,30.0
600,300,270.0,2,1.0,285,30.0
800,400,366.0,2,1.0,383,34.0
1000,500,466.0,2,1.0,483,34.0
1200,600,566.0,2,1.0,583,34.0
1400,700,664.0,2,1.0,682,36.0
1600,800,762.0,2,1.0,781,38.0
1800,900,862.0,2,1.0,881,38.0
2000,1000,962.0,2,1.0,981,38.0
2400,1200,1162.0,2,1.0,1181,38.0
2800,1400,1362.0,2,1.0,1381,38.0
3400,1700,1660.0,2,1.0,1680,40.0
4000,2000,1958.0,2,1.0,1979,42.0
5000,2500,2458.0,2,1.0,2479,42.0
6000,3000,2958.0,2,1.0,2979,42.0
8000,4000,3956.0,2,1.0,3978,44.0
10000,5000,4956.0,2,1.0,4978,44.0
12000,6000,5956.0,2,1.0,5978,44.0
14000,7000,6956.0,2,1.0,6978,44.0
16000,8000,7956.0,2,1.0,7978,44.0
18000,9000,8956.0,2,1.0,8978,44.0
20000,10000,9956.0,2,1.0,9978,44.0
