steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,-1.0,3,-1.0,0,2.0
6,2,-2.0,3,-1.0,0,4.0
9,3,-1.0,3,1.0,1,4.0
12,4,-2.0,3,-1.0,1,6.0
15,5,-1.0,3,1.0,2,6.0
18,6,0.0,3,1.0,3,6.0
21,7,1.0,3,1.0,4,6.0
24,8,0.0,3,-1.0,4,8.0
27,9,1.0,3,1.0,5,8.0
30,10,0.0,3,-1.0,5,10.0
36,12,-2.0,3,-1.0,5,14.0
42,14,-2.0,3,-1.0,6,16.0
51,17,-3.0,3,1.0,7,20.0
60,20,-2.0,3,-1.0,9,22.0
75,25,-1.0,3,1.0,12,26.0
90,30,-2.0,3,-1.0,14,32.0
120,40,-6.0,3,-1.0,17,46.0
150,50,-8.0,3,1.0,21,58.0
180,60,-6.0,3,1.0,27,66.0
210,70,-6.0,3,1.0,32,76.0
240,80,0.0,3,1.0,40,80.0
270,90,2.0,3,1.0,46,88.0
300,100,2.0,3,-1.0,51,98.0
360,120,0.0,3,1.0,60,120.0
420,140,4.0,3,-1.0,72,136.0
510,170,4.0,3,1.0,87,166.0
600,200,-2.0,3,1.0,99,202.0
750,250,-4.0,3,-1.0,123,254.0
900,300,4.0,3,1.0,152,296.0
1200,400,10.0,3,-1.0,205,390.0
1500,500,8.0,3,1.0,254,492.0
1800,600,6.0,3,-1.0,303,594.0
2100,700,-4.0,3,-1.0,348,704.0
2400,800,0.0,3,-1.0,400,800.0
2700,900,-4.0,3,1.0,448,904.0
3000,1000,0.0,3,1.0,500,1000.0
3600,1200,-6.0,3,-1.0,597,1206.0
4200,1400,-12.0,3,1.0,694,1412.0
5100,1700,16.0,3,-1.0,858,1684.0
6000,2000,-4.0,3,-1.0,998,2004.0
7500,2500,-46.0,3,1.0,1227,2546.0
9000,3000,-84.0,3,-1.0,1458,3084.0
12000,4000,-92.0,3,1.0,1954,4092.0
15000,5000,-148.0,3,1.0,2426,5148.0
18000,6000,-100.0,3,-1.0,2950,6100.0
21000,7000,-96.0,3,1.0,3452,7096.0
24000,8000,-92.0,3,-1.0,3954,8092.0
27000,9000,-116.0,3,-1.0,4442,9116.0
30000,10000,-132.0,3,-1.0,4934,10132.0
