steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-20.0,1,-1.0,40.0
25,25,-25.0,1,-1.0,50.0
30,30,-28.0,1,1.0,58.0
40,40,-34.0,1,1.0,74.0
50,50,-38.0,1,-1.0,88.0
60,60,-48.0,1,-1.0,108.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-74.0,1,-1.0,164.0
100,100,-82.0,1,-1.0,182.0
120,120,-98.0,1,-1.0,218.0
140,140,-116.0,1,-1.0,256.0
170,170,-140.0,1,1.0,310.0
200,200,-166.0,1,1.0,366.0
250,250,-212.0,1,-1.0,462.0
300,300,-256.0,1,-1.0,556.0
400,400,-328.0,1,-1.0,728.0
500,500,-416.0,1,-1.0,916.0
600,600,-496.0,1,-1.0,1096.0
700,700,-578.0,1,-1.0,1278.0
800,800,-654.0,1,-1.0,1454.0
900,900,-734.0,1,-1.0,1634.0
1000,1000,-814.0,1,1.0,1814.0
1200,1200,-976.0,1,-1.0,2176.0
1400,1400,-1144.0,1,-1.0,2544.0
1700,1700,-1398.0,1,-1.0,3098.0
2000,2000,-1634.0,1,-1.0,3634.0
2500,2500,-2038.0,1,-1.0,4538.0
3000,3000,-2450.0,1,-1.0,5450.0
4000,4000,-3250.0,1,-1.0,7250.0
5000,5000,-4062.0,1,-1.0,9062.0
6000,6000,-4856.0,1,1.0,10856.0
7000,7000,-5604.0,1,-1.0,12604.0
8000,8000,-6394.0,1,-1.0,14394.0
9000,9000,-7124.0,1,-1.0,16124.0
10000,10000,-7828.0,1,-1.0,17828.0
