steps,episode,total_return,episode_len,episode_return,total_regret
1,1,17.127135322472363,1,17.127135322472363,2.0
2,2,37.525281025789994,1,20.39814570331763,4.0
3,3,22.350017218234292,1,-15.1752638075557,6.0
4,4,17.236777247495496,1,-5.113239970738797,8.0
5,5,32.49504695344463,1,15.258269705949132,8.0
6,6,27.517009770612667,1,-4.978037182831961,10.0
7,7,18.184346691514058,1,-9.332663079098607,12.0
8,8,29.343988469498,1,11.159641777983945,14.0
9,9,5.71617528408397,1,-23.62781318541403,16.0
10,10,16.65199785600082,1,10.93582257191685,18.0
12,12,4.702270083227234,1,2.03664567110991,22.0
14,14,4.867258124103783,1,-2.230076558376954,26.0
17,17,14.421847871920821,1,6.752751534226123,32.0
20,20,-17.587623705415673,1,-8.215104349009088,38.0
25,25,-32.46977917430818,1,-8.252424619283701,48.0
30,30,-24.607605534450684,1,-2.8881668046952873,58.0
40,40,-37.42238480064469,1,-19.815354282782106,78.0
50,50,37.59214575137889,1,9.901311094164551,94.0
60,60,56.54182311083205,1,4.402728298782767,114.0
70,70,57.760639785424765,1,9.154938139674757,134.0
80,80,101.69239079869652,1,2.715004695493109,152.0
90,90,147.2317475512937,1,-5.297498501149336,166.0
100,100,115.35501049758166,1,1.8233577482227101,184.0
120,120,128.8970156256626,1,8.342306307285343,214.0
140,140,124.08316556470425,1,-0.3121911527074477,252.0
170,170,20.137672524569275,1,-19.851205604390692,308.0
200,200,21.54968755714823,1,7.8380496731085785,358.0
250,250,167.57497626403804,1,0.6626174552693429,448.0
300,300,64.36209599457595,1,-1.2023595393227993,534.0
400,400,14.205687400399306,1,-14.459960122794087,708.0
500,500,190.28753785406133,1,9.782128248096274,888.0
600,600,-10.145772224532152,1,-3.1992740555291244,1072.0
700,700,-222.5713924066411,1,4.605761815474492,1250.0
800,800,-296.70227354419967,1,9.705110790529393,1432.0
900,900,-377.25075731970094,1,-18.022408185918817,1614.0
1000,1000,-519.6375383562092,1,-2.5051834545312657,1800.0
1200,1200,-689.1858444595312,1,-9.902355332887405,2166.0
1400,1400,-818.2261517091891,1,-9.460534487313838,2530.0
1700,1700,-1023.471113712249,1,4.2179678135642185,3056.0
2000,2000,-1063.5529119516332,1,-1.2830169135677563,3580.0
2500,2500,-1059.3681379706159,1,7.034731192563299,4476.0
3000,3000,-1616.6872777403503,1,15.875542572589389,5370.0
4000,4000,-2243.6439177682905,1,-4.996181364930445,7166.0
5000,5000,-2871.7513056343328,1,-13.197347828920526,8976.0
6000,6000,-3349.617589612495,1,12.086548948564667,10766.0
7000,7000,-3983.4993314584285,1,-0.4416409917721442,12584.0
8000,8000,-4307.2738406646695,1,-10.659321975752682,14412.0
9000,9000,-5360.38110328226,1,0.9379565695817214,16194.0
10000,10000,-6085.121723263102,1,-17.193294951047186,18022.0
