steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.001,1,-0.001,2.0
2,2,-0.002,1,-0.001,4.0
3,3,-0.001,1,0.001,4.0
4,4,-0.002,1,-0.001,6.0
5,5,-0.003,1,-0.001,8.0
6,6,-0.004,1,-0.001,10.0
7,7,-0.005,1,-0.001,12.0
8,8,-0.006,1,-0.001,14.0
9,9,-0.007,1,-0.001,16.0
10,10,-0.008,1,-0.001,18.0
12,12,-0.008,1,0.001,20.0
14,14,-0.010000000000000002,1,-0.001,24.0
17,17,-0.013000000000000005,1,-0.001,30.0
20,20,-0.016000000000000007,1,-0.001,36.0
25,25,-0.01900000000000001,1,-0.001,44.0
30,30,-0.024000000000000014,1,-0.001,54.0
40,40,-0.03400000000000002,1,-0.001,74.0
50,50,-0.04200000000000003,1,-0.001,92.0
60,60,-0.05000000000000004,1,0.001,110.0
70,70,-0.060000000000000046,1,-0.001,130.0
80,80,-0.06800000000000005,1,-0.001,148.0
90,90,-0.07800000000000006,1,-0.001,168.0
100,100,-0.08800000000000006,1,-0.001,188.0
120,120,-0.10200000000000008,1,-0.001,222.0
140,140,-0.11800000000000009,1,0.001,258.0
170,170,-0.1460000000000001,1,-0.001,316.0
200,200,-0.17400000000000013,1,-0.001,374.0
250,250,-0.21800000000000017,1,-0.001,468.0
300,300,-0.2640000000000002,1,-0.001,564.0
400,400,-0.33800000000000024,1,-0.001,738.0
500,500,-0.4160000000000003,1,-0.001,916.0
600,600,-0.4880000000000004,1,-0.001,1088.0
700,700,-0.5700000000000004,1,-0.001,1270.0
800,800,-0.6620000000000005,1,-0.001,1462.0
900,900,-0.7340000000000005,1,-0.001,1634.0
1000,1000,-0.8140000000000006,1,-0.001,1814.0
1200,1200,-0.9700000000000008,1,-0.001,2170.0
1400,1400,-1.1359999999999857,1,-0.001,2536.0
1700,1700,-1.3719999999999597,1,-0.001,3072.0
2000,2000,-1.5939999999999352,1,-0.001,3594.0
2500,2500,-2.0039999999998903,1,-0.001,4504.0
3000,3000,-2.405999999999846,1,-0.001,5406.0
4000,4000,-3.1719999999997617,1,-0.001,7172.0
5000,5000,-3.977999999999673,1,-0.001,8978.0
6000,6000,-4.74799999999992,1,-0.001,10748.0
7000,7000,-5.528000000000181,1,0.001,12528.0
8000,8000,-6.370000000000462,1,-0.001,14370.0
9000,9000,-7.178000000000732,1,-0.001,16178.0
10000,10000,-7.954000000000991,1,-0.001,17954.0
