steps,episode,total_return,episode_len,episode_return,total_regret
6,1,-4.0,6,-4.0,2.0
12,2,-4.0,6,0.0,4.0
18,3,-6.0,6,-2.0,6.0
24,4,-6.0,6,0.0,6.0
30,5,-8.0,6,-2.0,8.0
36,6,-6.0,6,2.0,8.0
42,7,-8.0,6,-2.0,10.0
48,8,-4.0,6,4.0,10.0
54,9,-2.0,6,2.0,10.0
60,10,0.0,6,2.0,10.0
72,12,-2.0,6,-2.0,12.0
84,14,-2.0,6,0.0,12.0
102,17,-4.0,6,0.0,14.0
120,20,-2.0,6,2.0,16.0
150,25,-6.0,6,0.0,20.0
180,30,-14.0,6,-6.0,24.0
240,40,-8.0,6,0.0,32.0
300,50,-4.0,6,4.0,40.0
360,60,-6.0,6,2.0,48.0
420,70,-2.0,6,2.0,58.0
480,80,-10.0,6,-4.0,70.0
540,90,-16.0,6,0.0,80.0
600,100,-24.0,6,4.0,92.0
720,120,-24.0,6,2.0,114.0
840,140,-18.0,6,-2.0,142.0
1020,170,-14.0,6,4.0,174.0
1200,200,-40.0,6,-2.0,210.0
1500,250,-8.0,6,-2.0,262.0
1800,300,-12.0,6,-4.0,302.0
2400,400,-66.0,6,-4.0,402.0
3000,500,-68.0,6,2.0,500.0
3600,600,-48.0,6,2.0,592.0
4200,700,-36.0,6,2.0,698.0
4800,800,-26.0,6,0.0,790.0
5400,900,4.0,6,-2.0,890.0
6000,1000,42.0,6,-2.0,992.0
7200,1200,72.0,6,0.0,1186.0
8400,1400,128.0,6,-2.0,1362.0
10200,1700,140.0,6,-2.0,1684.0
12000,2000,154.0,6,0.0,1978.0
15000,2500,182.0,6,6.0,2486.0
18000,3000,148.0,6,-2.0,2942.0
24000,4000,160.0,6,-6.0,3942.0
30000,5000,186.0,6,0.0,4950.0
36000,6000,186.0,6,0.0,5870.0
42000,7000,284.0,6,0.0,6804.0
48000,8000,486.0,6,2.0,7616.0
54000,9000,766.0,6,-2.0,8182.0
60000,10000,1546.0,6,-2.0,8430.0
