steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.5,1,0.5,0.5
2,2,1.0,1,0.5,1.0
3,3,1.5,1,0.5,1.5
4,4,2.0,1,0.5,2.0
5,5,2.5,1,0.5,2.5
6,6,3.0,1,0.5,3.0
7,7,3.5,1,0.5,3.5
8,8,4.0,1,0.5,4.0
9,9,4.5,1,0.5,4.5
10,10,5.0,1,0.5,5.0
12,12,6.1,1,0.5,5.9
14,14,6.8999999999999995,1,0.30000000000000004,7.1000000000000005
17,17,8.799999999999999,1,0.9,8.200000000000001
20,20,10.299999999999999,1,0.5,9.700000000000001
25,25,12.799999999999999,1,0.5,12.200000000000001
30,30,14.899999999999999,1,0.5,15.100000000000001
40,40,19.999999999999996,1,0.2,20.000000000000004
50,50,24.999999999999996,1,0.5,25.000000000000004
60,60,30.199999999999996,1,0.5,29.800000000000004
70,70,35.89999999999999,1,0.5,34.10000000000001
80,80,40.89999999999999,1,0.5,39.10000000000001
90,90,45.89999999999999,1,0.5,44.10000000000001
100,100,49.99999999999999,1,0.5,50.00000000000001
120,120,63.00000000000002,1,0.9,56.99999999999998
140,140,80.30000000000013,1,0.2,59.7
170,170,107.3000000000003,1,0.9,62.700000000000045
200,200,134.30000000000047,1,0.9,65.69999999999996
250,250,178.10000000000076,1,0.9,71.8999999999997
300,300,222.80000000000098,1,1.0,77.19999999999948
400,400,319.400000000001,1,1.0,80.59999999999948
500,500,416.400000000001,1,0.2,83.59999999999948
600,600,511.8000000000009,1,1.0,88.19999999999946
700,700,610.6000000000008,1,1.0,89.39999999999947
800,800,708.6000000000007,1,1.0,91.39999999999947
900,900,807.4000000000007,1,1.0,92.59999999999947
1000,1000,906.0000000000007,1,1.0,93.99999999999947
1200,1200,1100.5000000000005,1,1.0,99.49999999999949
1400,1400,1292.4000000000003,1,1.0,107.5999999999995
1700,1700,1587.7000000000003,1,1.0,112.2999999999995
2000,2000,1880.8000000000004,1,1.0,119.19999999999949
2500,2500,2367.6000000000004,1,1.0,132.3999999999995
3000,3000,2853.900000000001,1,1.0,146.09999999999945
4000,4000,3827.7999999999997,1,1.0,172.19999999999953
5000,5000,4807.5,1,1.0,192.4999999999994
6000,6000,5786.000000000002,1,1.0,213.9999999999994
7000,7000,6764.000000000003,1,1.0,235.9999999999994
8000,8000,7736.000000000002,1,1.0,263.99999999999943
9000,9000,8707.7,1,1.0,292.2999999999994
10000,10000,9673.400000000003,1,1.0,326.5999999999995
