steps,episode,total_return,episode_len,episode_return,total_regret
1,1,5.101353459473037,1,5.101353459473037,0.0
2,2,3.4169964955371555,1,-1.6843569639358815,0.0
3,3,12.628345603206528,1,9.211349107669372,0.0
4,4,12.505797628784572,1,-0.12254797442195509,0.0
5,5,13.26487605284851,1,0.759078424063939,0.0
6,6,-7.711387730289253,1,-20.976263783137764,0.0
7,7,7.638977357832646,1,15.3503650881219,0.0
8,8,12.363983421824653,1,4.725006063992006,0.0
9,9,11.658861989944107,1,-0.7051214318805465,0.0
10,10,8.88731504227045,1,-2.771546947673658,0.0
12,12,28.003758766910533,1,8.950547475671431,0.9
14,14,10.605260566629589,1,-7.7399549224169215,1.9
17,17,22.33896998460524,1,-2.125313719774692,2.3
20,20,14.265500331659615,1,14.363894941806223,2.3
25,25,19.44785726788137,1,-1.3548076296492,2.3
30,30,5.348174486784819,1,-9.402932992930044,2.4
40,40,-9.615264132854673,1,-4.642083217527251,3.4
50,50,-6.21088722340118,1,7.066811808756006,3.4
60,60,81.22104235167562,1,5.742055411478271,4.1
70,70,74.61506507305373,1,3.5335995009119348,4.7
80,80,71.73496739514823,1,7.885817367542062,4.7
90,90,92.67906886107338,1,8.230549926236845,4.7
100,100,77.19271595659517,1,-7.625365277019776,5.6
120,120,81.78014861547416,1,-4.533942504350016,6.0
140,140,114.23613407983066,1,7.465885040354939,6.6
170,170,165.76100227698265,1,9.136250370877477,8.0
200,200,176.49735092608444,1,20.76186755064895,26.89999999999998
250,250,114.79233731113916,1,-1.8162332954205667,68.69999999999999
300,300,114.14114532339082,1,16.816193684321274,100.79999999999998
400,400,243.32600353393516,1,12.511247788489667,114.60000000000001
500,500,373.52184432273697,1,0.9761523067198465,117.0
600,600,669.8368875300296,1,0.44965013270553567,122.3
700,700,792.3336298388012,1,6.076005992000562,124.60000000000001
800,800,819.4694223608009,1,0.6341669806176806,125.80000000000001
900,900,1072.12587248831,1,5.838570003071851,128.60000000000002
1000,1000,1230.433368096622,1,-9.522645631622273,128.70000000000002
1200,1200,1509.4497897931496,1,2.391884440799007,136.50000000000003
1400,1400,1967.8536499221752,1,-11.024224097296791,146.20000000000005
1700,1700,2076.8035924141986,1,5.069442394716696,149.70000000000002
2000,2000,2215.227674481854,1,1.470351118595567,158.00000000000003
2500,2500,2937.649648696007,1,7.809565986209805,245.10000000000227
3000,3000,3332.1240895762894,1,-4.44750210274982,359.30000000000615
4000,4000,4008.991834219563,1,-2.925309362143083,510.1000000000109
5000,5000,4679.7237182680965,1,-14.831564010766556,826.5999999999964
6000,6000,5445.247462469418,1,-6.94121931528159,962.9999999999873
7000,7000,6484.763645312068,1,1.7825015048391797,985.8999999999874
8000,8000,6914.729880722473,1,0.5751576599842196,1040.4999999999857
9000,9000,7796.406568557313,1,7.188232716048324,1069.0999999999858
10000,10000,8989.607344341948,1,-8.894346523226554,1104.199999999984
