steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.8,1,0.8,0.19999999999999996
2,2,1.6,1,0.8,0.3999999999999999
3,3,2.4000000000000004,1,0.8,0.5999999999999999
4,4,3.2,1,0.8,0.7999999999999998
5,5,4.0,1,0.8,0.9999999999999998
6,6,4.8,1,0.8,1.1999999999999997
7,7,5.6,1,0.8,1.3999999999999997
8,8,6.3999999999999995,1,0.8,1.5999999999999996
9,9,7.199999999999999,1,0.8,1.7999999999999996
10,10,7.999999999999999,1,0.8,1.9999999999999996
12,12,9.1,1,0.8,2.8999999999999995
14,14,10.0,1,0.1,3.9999999999999996
17,17,12.600000000000001,1,1.0,4.3999999999999995
20,20,15.000000000000004,1,0.8,5.0
25,25,19.000000000000007,1,0.8,6.000000000000001
30,30,22.60000000000001,1,0.8,7.400000000000001
40,40,30.200000000000014,1,0.2,9.799999999999999
50,50,38.199999999999996,1,0.8,11.799999999999992
60,60,46.09999999999997,1,0.8,13.899999999999986
70,70,53.99999999999995,1,0.8,15.99999999999998
80,80,61.99999999999992,1,0.8,17.999999999999975
90,90,69.9999999999999,1,0.8,19.999999999999968
100,100,76.79999999999988,1,0.8,23.199999999999964
120,120,92.99999999999983,1,0.8,26.99999999999995
140,140,110.3999999999998,1,0.2,29.599999999999945
170,170,140.3999999999998,1,1.0,29.599999999999945
200,200,170.3999999999998,1,1.0,29.599999999999945
250,250,218.5999999999998,1,1.0,31.39999999999994
300,300,266.8999999999998,1,1.0,33.09999999999994
400,400,363.4999999999999,1,1.0,36.49999999999995
500,500,460.5999999999999,1,0.2,39.39999999999995
600,600,556.2,1,1.0,43.79999999999994
700,700,654.6,1,1.0,45.39999999999994
800,800,752.6,1,1.0,47.39999999999994
900,900,850.9,1,1.0,49.099999999999945
1000,1000,950.0999999999999,1,1.0,49.89999999999995
1200,1200,1142.7999999999997,1,1.0,57.19999999999995
1400,1400,1333.9999999999998,1,1.0,65.99999999999996
1700,1700,1628.9999999999998,1,1.0,70.99999999999996
2000,2000,1921.8,1,1.0,78.19999999999995
2500,2500,2408.2,1,1.0,91.79999999999993
3000,3000,2895.8000000000006,1,1.0,104.1999999999999
4000,4000,3870.3,1,1.0,129.6999999999999
5000,5000,4850.100000000003,1,1.0,149.89999999999986
6000,6000,5828.500000000003,1,1.0,171.4999999999998
7000,7000,6805.200000000001,1,0.9,194.7999999999998
8000,8000,7777.099999999999,1,1.0,222.89999999999984
9000,9000,8747.000000000002,1,1.0,252.99999999999983
10000,10000,9715.200000000006,1,1.0,284.8
