steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
10,1,-0.004,10,-0.004,1,0
20,2,-0.008,10,-0.004,2,0
30,3,-0.012000000000000004,10,-0.004,3,0
40,4,-0.017000000000000008,10,-0.005,4,0
50,5,-0.02000000000000001,10,-0.003,5,0
60,6,-0.024000000000000014,10,-0.004,6,0
70,7,-0.028000000000000018,10,-0.004,7,0
80,8,-0.03200000000000002,10,-0.004,8,0
90,9,-0.036000000000000025,10,-0.004,9,0
100,10,-0.04100000000000003,10,-0.005,10,0
120,12,-0.048000000000000036,10,-0.003,12,0
140,14,-0.06100000000000005,10,-0.004,14,0
170,17,-0.07300000000000005,10,-0.003,17,0
200,20,-0.08800000000000006,10,-0.004,20,0
250,25,-0.10600000000000008,10,-0.004,25,0
300,30,-0.1320000000000001,10,-0.007,30,0
400,40,-0.17400000000000013,10,-0.005,40,0
500,50,-0.20400000000000015,10,-0.004,50,0
600,60,-0.22100000000000017,10,-0.003,60,0
700,70,-0.23200000000000018,10,-0.001,70,0
800,80,-0.2480000000000002,10,-0.002,80,0
900,90,-0.2790000000000002,10,-0.004,90,0
1000,100,-0.31900000000000023,10,-0.003,100,0
1200,120,-0.3930000000000003,10,-0.005,120,0
1400,140,-0.46200000000000035,10,0.0,140,0
1700,170,-0.5480000000000004,10,-0.003,170,0
2000,200,-0.6140000000000004,10,-0.001,200,0
2500,250,-0.7010000000000005,10,-0.002,250,0
3000,300,-0.7920000000000006,10,-0.004,300,0
4000,400,-1.0020000000000004,10,-0.001,400,0
5000,500,-1.0679999999999932,10,0.0,500,0
6000,600,-1.1079999999999888,10,-0.001,600,0
7000,700,-1.1849999999999803,10,-0.001,700,0
8000,800,-1.2489999999999732,10,0.0,800,0
9000,900,-1.2919999999999685,10,0.0,900,0
10000,1000,-1.3379999999999634,10,0.0,1000,0
12000,1200,-1.4279999999999535,10,0.0,1200,0
14000,1400,-1.741999999999919,10,-0.003,1400,0
17000,1700,-2.3289999999998545,10,-0.002,1700,0
20000,2000,-2.797999999999803,10,-0.001,2000,0
25000,2500,-4.310999999999774,10,-0.004,2500,0
30000,3000,-5.747000000000254,10,-0.001,3000,0
40000,4000,-6.447000000000488,10,-0.001,4000,0
50000,5000,-7.05300000000069,10,-0.001,5000,0
60000,6000,-7.512000000000843,10,0.0,6000,0
70000,7000,-8.042000000000982,10,0.0,7000,0
80000,8000,-8.441000000000761,10,0.0,8000,0
90000,9000,-8.945000000000482,10,0.0,9000,0
100000,10000,-9.883999999999961,10,-0.002,10000,0
