steps,episode,total_return,episode_len,episode_return
100,1,1.1,100,1.1
200,2,2.2,100,1.1
300,3,3.3000000000000003,100,1.1
400,4,4.4,100,1.1
500,5,5.5,100,1.1
600,6,6.6,100,1.1
700,7,7.699999999999999,100,1.1
800,8,8.799999999999999,100,1.1
900,9,9.899999999999999,100,1.1
1000,10,10.999999999999998,100,1.1
1200,12,13.199999999999998,100,1.1
1400,14,15.399999999999997,100,1.1
1700,17,18.7,100,1.1
2000,20,22.000000000000004,100,1.1
2500,25,27.50000000000001,100,1.1
3000,30,33.000000000000014,100,1.1
4000,40,43.90000000000003,100,1.1
5000,50,54.90000000000004,100,1.1
6000,60,65.30000000000004,100,1.0
7000,70,75.30000000000004,100,1.0
8000,80,85.40000000000003,100,1.0
9000,90,96.0,100,1.1
10000,100,106.89999999999995,100,1.1
12000,120,128.49999999999986,100,1.1
14000,140,149.09999999999982,100,1.0
17000,170,179.09999999999982,100,1.0
20000,200,209.19999999999982,100,1.0
25000,250,259.1999999999998,100,1.0
30000,300,309.1999999999998,100,1.0
40000,400,409.29999999999984,100,1.0
50000,500,510.4000000000001,100,1.1
60000,600,618.0000000000018,100,1.0
70000,700,721.7000000000027,100,1.1
80000,800,830.4000000000046,100,1.1
90000,900,937.9000000000063,100,1.1
100000,1000,1042.7000000000075,100,1.0
