steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
7,1,1.0,7,1.0,1,0.0
14,2,2.0,7,1.0,2,0.0
21,3,3.0,7,1.0,3,0.0
28,4,2.0,7,-1.0,3,2.0
35,5,3.0,7,1.0,4,2.0
42,6,2.0,7,-1.0,4,4.0
49,7,3.0,7,1.0,5,4.0
56,8,4.0,7,1.0,6,4.0
63,9,3.0,7,-1.0,6,6.0
70,10,4.0,7,1.0,7,6.0
84,12,6.0,7,1.0,9,6.0
98,14,6.0,7,-1.0,10,8.0
119,17,5.0,7,1.0,11,12.0
140,20,8.0,7,1.0,14,12.0
175,25,9.0,7,1.0,17,16.0
210,30,8.0,7,-1.0,19,22.0
280,40,12.0,7,-1.0,26,28.0
350,50,12.0,7,1.0,31,38.0
420,60,4.0,7,-1.0,32,56.0
490,70,2.0,7,1.0,36,68.0
560,80,10.0,7,1.0,45,70.0
630,90,10.0,7,1.0,50,80.0
700,100,10.0,7,-1.0,55,90.0
840,120,0.0,7,-1.0,60,120.0
980,140,2.0,7,1.0,71,138.0
1190,170,4.0,7,1.0,87,166.0
1400,200,2.0,7,-1.0,101,198.0
1750,250,-2.0,7,1.0,124,252.0
2100,300,4.0,7,1.0,152,296.0
2800,400,-6.0,7,-1.0,197,406.0
3500,500,-24.0,7,1.0,238,524.0
4200,600,-24.0,7,-1.0,288,624.0
4900,700,-38.0,7,-1.0,331,738.0
5600,800,-52.0,7,-1.0,374,852.0
6300,900,-46.0,7,-1.0,427,946.0
7000,1000,-38.0,7,-1.0,481,1038.0
8400,1200,-30.0,7,1.0,585,1230.0
9800,1400,-56.0,7,1.0,672,1456.0
11900,1700,-62.0,7,1.0,819,1762.0
14000,2000,-68.0,7,-1.0,966,2068.0
17500,2500,-86.0,7,1.0,1207,2586.0
21000,3000,-90.0,7,-1.0,1455,3090.0
28000,4000,-72.0,7,1.0,1964,4072.0
35000,5000,-64.0,7,1.0,2468,5064.0
42000,6000,-42.0,7,1.0,2979,6042.0
49000,7000,-38.0,7,-1.0,3481,7038.0
56000,8000,14.0,7,-1.0,4007,7986.0
63000,9000,16.0,7,-1.0,4508,8984.0
70000,10000,-8.0,7,-1.0,4996,10008.0
