steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,2.0,3,1.0,2,0.0
9,3,3.0,3,1.0,3,0.0
12,4,2.0,3,-1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,2.0,3,-1.0,4,4.0
21,7,3.0,3,1.0,5,4.0
24,8,4.0,3,1.0,6,4.0
27,9,3.0,3,-1.0,6,6.0
30,10,4.0,3,1.0,7,6.0
36,12,6.0,3,1.0,9,6.0
42,14,6.0,3,-1.0,10,8.0
51,17,5.0,3,1.0,11,12.0
60,20,8.0,3,1.0,14,12.0
75,25,9.0,3,1.0,17,16.0
90,30,8.0,3,-1.0,19,22.0
120,40,12.0,3,-1.0,26,28.0
150,50,10.0,3,1.0,30,40.0
180,60,4.0,3,-1.0,32,56.0
210,70,2.0,3,1.0,36,68.0
240,80,-2.0,3,-1.0,39,82.0
270,90,0.0,3,-1.0,45,90.0
300,100,4.0,3,-1.0,52,96.0
360,120,4.0,3,1.0,62,116.0
420,140,6.0,3,1.0,73,134.0
510,170,12.0,3,1.0,91,158.0
600,200,6.0,3,-1.0,103,194.0
750,250,-2.0,3,-1.0,124,252.0
900,300,6.0,3,1.0,153,294.0
1200,400,0.0,3,1.0,200,400.0
1500,500,-8.0,3,-1.0,246,508.0
1800,600,-18.0,3,-1.0,291,618.0
2100,700,-22.0,3,-1.0,339,722.0
2400,800,-42.0,3,1.0,379,842.0
2700,900,-42.0,3,1.0,429,942.0
3000,1000,-50.0,3,1.0,475,1050.0
3600,1200,-56.0,3,1.0,572,1256.0
4200,1400,-34.0,3,-1.0,683,1434.0
5100,1700,-26.0,3,1.0,837,1726.0
6000,2000,-20.0,3,1.0,990,2020.0
7500,2500,-18.0,3,1.0,1241,2518.0
9000,3000,-38.0,3,-1.0,1481,3038.0
12000,4000,-84.0,3,-1.0,1958,4084.0
15000,5000,-98.0,3,1.0,2451,5098.0
18000,6000,-150.0,3,1.0,2925,6150.0
21000,7000,-108.0,3,-1.0,3446,7108.0
24000,8000,-86.0,3,1.0,3957,8086.0
27000,9000,-96.0,3,1.0,4452,9096.0
30000,10000,-26.0,3,1.0,4987,10026.0
