steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,0.0,1,1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-4.0,1,1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-8.0,1,-1.0,20.0
14,14,-8.0,1,-1.0,22.0
17,17,-11.0,1,-1.0,28.0
20,20,-14.0,1,-1.0,34.0
25,25,-17.0,1,-1.0,42.0
30,30,-22.0,1,-1.0,52.0
40,40,-30.0,1,-1.0,70.0
50,50,-38.0,1,-1.0,88.0
60,60,-48.0,1,-1.0,108.0
70,70,-54.0,1,-1.0,124.0
80,80,-64.0,1,-1.0,144.0
90,90,-74.0,1,-1.0,164.0
100,100,-80.0,1,-1.0,180.0
120,120,-100.0,1,-1.0,220.0
140,140,-118.0,1,-1.0,258.0
170,170,-138.0,1,-1.0,308.0
200,200,-164.0,1,-1.0,364.0
250,250,-196.0,1,-1.0,446.0
300,300,-234.0,1,-1.0,534.0
400,400,-314.0,1,-1.0,714.0
500,500,-390.0,1,-1.0,890.0
600,600,-466.0,1,-1.0,1066.0
700,700,-540.0,1,-1.0,1240.0
800,800,-608.0,1,-1.0,1408.0
900,900,-676.0,1,-1.0,1576.0
1000,1000,-748.0,1,-1.0,1748.0
1200,1200,-894.0,1,-1.0,2094.0
1400,1400,-1010.0,1,-1.0,2410.0
1700,1700,-1214.0,1,-1.0,2914.0
2000,2000,-1418.0,1,1.0,3418.0
2500,2500,-1786.0,1,-1.0,4286.0
3000,3000,-2084.0,1,1.0,5084.0
4000,4000,-2636.0,1,-1.0,6636.0
5000,5000,-3184.0,1,1.0,8184.0
6000,6000,-3686.0,1,1.0,9686.0
7000,7000,-4202.0,1,-1.0,11202.0
8000,8000,-4690.0,1,-1.0,12690.0
9000,9000,-5236.0,1,-1.0,14236.0
10000,10000,-5708.0,1,1.0,15708.0
