steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.9795948107901807,1,-0.9795948107901807,2.0
2,2,-1.9849295155954665,1,-1.0053347048052856,4.0
3,3,-2.7386499493788583,1,-0.7537204337833918,6.0
4,4,-3.4888188372542235,1,-0.750168887875365,8.0
5,5,-4.389593939847815,1,-0.9007751025935914,10.0
6,6,-5.594978659609614,1,-1.205384719761799,12.0
7,7,-5.950756709157639,1,-0.3557780495480256,14.0
8,8,-6.262521994367512,1,-0.311765285209873,16.0
9,9,-6.998513500176423,1,-0.7359915058089103,18.0
10,10,-8.463940393430676,1,-1.4654268932542522,20.0
12,12,-11.299231209529752,1,-1.584028559785798,24.0
14,14,-14.08718552731061,1,-1.5553188079060454,28.0
17,17,-13.53031839706026,1,-0.32735515469548127,32.0
20,20,-16.344982657163925,1,-0.8952805931276417,38.0
25,25,-18.23501619625522,1,-0.8948003531590213,46.0
30,30,-23.175860117155384,1,-0.6464113733835808,56.0
40,40,-33.36416390123241,1,-0.861971484164775,76.0
50,50,-36.919956067521206,1,-0.5888641343450525,90.0
60,60,-43.20933588910044,1,-0.6558956383523908,106.0
70,70,-51.506191248219054,1,-0.9158911203968696,124.0
80,80,-48.9180767500311,1,0.9855060176166319,132.0
90,90,-57.92338311357869,1,-0.5801643140898383,152.0
100,100,-63.99377596364629,1,-0.4936406237482994,170.0
120,120,-81.7676676620839,1,-0.5397744850889346,208.0
140,140,-101.0450957965083,1,-1.0909937145450228,248.0
170,170,-127.84130779138142,1,-0.9401853091045838,304.0
200,200,-147.02471150776225,1,-0.7013039901003095,354.0
250,250,-188.8790938859052,1,1.053502291266173,444.0
300,300,-232.59641075358016,1,-1.3337956961616808,538.0
400,400,-312.16029661010816,1,1.2744397370075788,714.0
500,500,-381.30258844230315,1,-0.9207918917181768,878.0
600,600,-460.34165684554773,1,-0.8092157499787029,1056.0
700,700,-544.9517658252004,1,-1.1928908964067282,1238.0
800,800,-621.6556360749504,1,-0.9310064943141516,1414.0
900,900,-700.3197706354209,1,-0.9253486038855163,1588.0
1000,1000,-771.0837861530247,1,-0.8222934077416453,1760.0
1200,1200,-911.4283238174061,1,-0.877278902611893,2102.0
1400,1400,-1052.3105308195265,1,-0.7193112887980223,2446.0
1700,1700,-1270.55135124486,1,-1.0142168156378282,2956.0
2000,2000,-1475.8649234207805,1,0.5811524898784914,3454.0
2500,2500,-1781.407628875472,1,-1.0712598915005325,4270.0
3000,3000,-2086.3382252427245,1,-1.7505454681153094,5080.0
4000,4000,-2646.481170783687,1,0.029795032506220176,6642.0
5000,5000,-3174.0959047343504,1,0.6634753249263866,8178.0
6000,6000,-3722.2447649053447,1,1.5002146157836669,9736.0
7000,7000,-4207.579916940085,1,-0.6591584955275849,11232.0
8000,8000,-4695.816263891453,1,-0.9916139054779637,12726.0
9000,9000,-5178.6423160384475,1,1.0891975322579102,14200.0
10000,10000,-5669.218992838999,1,-1.3269074181800653,15684.0
