steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.03,1,-0.03,2.0
2,2,0.0,1,0.03,2.0
3,3,-0.03,1,-0.03,4.0
4,4,-0.06,1,-0.03,6.0
5,5,-0.09,1,-0.03,8.0
6,6,-0.06,1,0.03,8.0
7,7,-0.09,1,-0.03,10.0
8,8,-0.06,1,0.03,10.0
9,9,-0.09,1,-0.03,12.0
10,10,-0.12,1,-0.03,14.0
12,12,-0.18,1,-0.03,18.0
14,14,-0.24,1,-0.03,22.0
17,17,-0.33000000000000007,1,-0.03,28.0
20,20,-0.3600000000000001,1,0.03,32.0
25,25,-0.4500000000000002,1,-0.03,40.0
30,30,-0.5400000000000003,1,-0.03,48.0
40,40,-0.7800000000000005,1,-0.03,66.0
50,50,-0.9600000000000006,1,-0.03,82.0
60,60,-1.260000000000001,1,-0.03,102.0
70,70,-1.500000000000001,1,-0.03,120.0
80,80,-1.7400000000000013,1,-0.03,138.0
90,90,-2.0400000000000014,1,-0.03,158.0
100,100,-2.28,1,0.03,176.0
120,120,-2.5199999999999982,1,-0.03,204.0
140,140,-3.1199999999999943,1,-0.03,244.0
170,170,-3.77999999999999,1,-0.03,296.0
200,200,-4.439999999999992,1,-0.03,348.0
250,250,-5.880000000000004,1,-0.03,446.0
300,300,-6.840000000000012,1,-0.03,528.0
400,400,-9.119999999999997,1,-0.03,704.0
500,500,-11.639999999999944,1,-0.03,888.0
600,600,-14.15999999999989,1,-0.03,1072.0
700,700,-16.439999999999866,1,-0.03,1248.0
800,800,-18.479999999999944,1,0.03,1416.0
900,900,-20.22000000000001,1,-0.03,1574.0
1000,1000,-22.260000000000087,1,-0.03,1742.0
1200,1200,-26.640000000000253,1,-0.03,2088.0
1400,1400,-30.5400000000004,1,-0.03,2418.0
1700,1700,-36.60000000000063,1,0.03,2920.0
2000,2000,-42.78000000000086,1,-0.03,3426.0
2500,2500,-52.86000000000124,1,-0.03,4262.0
3000,3000,-63.240000000001636,1,-0.03,5108.0
4000,4000,-81.66000000000233,1,0.03,6722.0
5000,5000,-100.02000000000302,1,0.03,8334.0
6000,6000,-117.24000000000368,1,0.03,9908.0
7000,7000,-134.22000000000432,1,-0.03,11474.0
8000,8000,-150.12000000000492,1,0.03,13004.0
9000,9000,-166.62000000000555,1,-0.03,14554.0
10000,10000,-182.58000000000615,1,-0.03,16086.0
