steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0008,1,0.0008,0.19999999999999996
2,2,0.0012000000000000001,1,0.0004,0.7999999999999999
3,3,0.0022,1,0.001,0.7999999999999999
4,4,0.0029000000000000002,1,0.0007000000000000001,1.0999999999999999
5,5,0.0029000000000000002,1,0.0,2.0999999999999996
6,6,0.0032,1,0.00030000000000000003,2.8
7,7,0.0033,1,0.0001,3.6999999999999997
8,8,0.0035,1,0.0002,4.5
9,9,0.0037,1,0.0002,5.3
10,10,0.0044,1,0.0007000000000000001,5.6
12,12,0.0044,1,0.0,7.6
14,14,0.0047,1,0.00030000000000000003,9.299999999999999
17,17,0.0061,1,0.0004,10.899999999999999
20,20,0.008100000000000001,1,0.00030000000000000003,11.899999999999997
25,25,0.0103,1,0.0006000000000000001,14.699999999999996
30,30,0.013699999999999999,1,0.0001,16.299999999999994
40,40,0.0194,1,0.0002,20.599999999999994
50,50,0.025900000000000003,1,0.0007000000000000001,24.099999999999994
60,60,0.032100000000000004,1,0.0006000000000000001,27.89999999999999
70,70,0.03820000000000001,1,0.00030000000000000003,31.79999999999999
80,80,0.042000000000000016,1,0.0,37.999999999999986
90,90,0.047000000000000014,1,0.001,42.99999999999998
100,100,0.05420000000000001,1,0.0008,45.79999999999999
120,120,0.06220000000000001,1,0.0007000000000000001,57.799999999999976
140,140,0.07270000000000001,1,0.0002,67.29999999999998
170,170,0.08820000000000004,1,0.0006000000000000001,81.79999999999998
200,200,0.10180000000000007,1,0.001,98.19999999999997
250,250,0.1247000000000001,1,0.0008,125.29999999999998
300,300,0.15130000000000016,1,0.0007000000000000001,148.7
400,400,0.19740000000000016,1,0.00030000000000000003,202.59999999999997
500,500,0.24570000000000028,1,0.0008,254.3
600,600,0.29410000000000025,1,0.0004,305.90000000000015
700,700,0.3465,1,0.0005,353.50000000000006
800,800,0.3969999999999999,1,0.0009000000000000001,403.0000000000004
900,900,0.45020000000000016,1,0.0007000000000000001,449.8000000000004
1000,1000,0.4990000000000003,1,0.0009000000000000001,501.0000000000005
1200,1200,0.5856000000000003,1,0.0002,614.3999999999983
1400,1400,0.6788000000000031,1,0.001,721.1999999999946
1700,1700,0.9549000000000053,1,0.001,745.0999999999952
2000,2000,1.2449999999999783,1,0.001,754.9999999999952
2500,2500,1.729399999999925,1,0.001,770.5999999999951
3000,3000,2.212799999999873,1,0.001,787.1999999999952
4000,4000,3.18929999999977,1,0.001,810.6999999999954
5000,5000,4.162399999999741,1,0.001,837.5999999999956
6000,6000,5.13460000000006,1,0.001,865.3999999999955
7000,7000,6.102700000000381,1,0.001,897.2999999999953
8000,8000,7.0758000000007,1,0.001,924.1999999999952
9000,9000,8.047800000000976,1,0.001,952.1999999999952
10000,10000,9.022400000000449,1,0.001,977.599999999995
