steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,0.0,3,-1.0,2,4.0
15,5,1.0,3,1.0,3,4.0
18,6,0.0,3,-1.0,3,6.0
21,7,-1.0,3,-1.0,3,8.0
24,8,-2.0,3,-1.0,3,10.0
27,9,-3.0,3,-1.0,3,12.0
30,10,-4.0,3,-1.0,3,14.0
36,12,-4.0,3,-1.0,4,16.0
42,14,-6.0,3,-1.0,4,20.0
51,17,-7.0,3,1.0,5,24.0
60,20,-6.0,3,1.0,7,26.0
75,25,-5.0,3,1.0,10,30.0
90,30,-10.0,3,-1.0,10,40.0
120,40,-14.0,3,1.0,13,54.0
150,50,-10.0,3,-1.0,20,60.0
180,60,-18.0,3,-1.0,21,78.0
210,70,-16.0,3,-1.0,27,86.0
240,80,-18.0,3,1.0,31,98.0
270,90,-18.0,3,1.0,36,108.0
300,100,-18.0,3,1.0,41,118.0
360,120,-14.0,3,-1.0,53,134.0
420,140,-14.0,3,-1.0,63,154.0
510,170,-12.0,3,-1.0,79,182.0
600,200,-8.0,3,1.0,96,208.0
750,250,2.0,3,1.0,126,248.0
900,300,8.0,3,-1.0,154,292.0
1200,400,4.0,3,1.0,202,396.0
1500,500,12.0,3,-1.0,256,488.0
1800,600,18.0,3,1.0,309,582.0
2100,700,-4.0,3,-1.0,348,704.0
2400,800,-10.0,3,1.0,395,810.0
2700,900,-2.0,3,1.0,449,902.0
3000,1000,-12.0,3,-1.0,494,1012.0
3600,1200,-38.0,3,1.0,581,1238.0
4200,1400,-24.0,3,-1.0,688,1424.0
5100,1700,-34.0,3,-1.0,833,1734.0
6000,2000,-48.0,3,-1.0,976,2048.0
7500,2500,-38.0,3,-1.0,1231,2538.0
9000,3000,-52.0,3,-1.0,1474,3052.0
12000,4000,-52.0,3,1.0,1974,4052.0
15000,5000,-78.0,3,-1.0,2461,5078.0
18000,6000,-112.0,3,-1.0,2944,6112.0
21000,7000,-106.0,3,-1.0,3447,7106.0
24000,8000,-138.0,3,1.0,3931,8138.0
27000,9000,-158.0,3,-1.0,4421,9158.0
30000,10000,-134.0,3,1.0,4933,10134.0
