steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-17.0,1,-1.0,34.0
20,20,-18.0,1,-1.0,38.0
25,25,-19.0,1,1.0,44.0
30,30,-24.0,1,-1.0,54.0
40,40,-32.0,1,-1.0,72.0
50,50,-38.0,1,1.0,88.0
60,60,-46.0,1,-1.0,106.0
70,70,-56.0,1,-1.0,126.0
80,80,-62.0,1,1.0,142.0
90,90,-72.0,1,-1.0,162.0
100,100,-78.0,1,-1.0,178.0
120,120,-94.0,1,-1.0,214.0
140,140,-110.0,1,-1.0,250.0
170,170,-134.0,1,-1.0,304.0
200,200,-162.0,1,-1.0,362.0
250,250,-192.0,1,-1.0,442.0
300,300,-228.0,1,-1.0,528.0
400,400,-304.0,1,-1.0,704.0
500,500,-390.0,1,-1.0,890.0
600,600,-458.0,1,-1.0,1058.0
700,700,-538.0,1,-1.0,1238.0
800,800,-620.0,1,-1.0,1420.0
900,900,-706.0,1,-1.0,1606.0
1000,1000,-782.0,1,1.0,1782.0
1200,1200,-948.0,1,-1.0,2148.0
1400,1400,-1104.0,1,-1.0,2504.0
1700,1700,-1336.0,1,-1.0,3036.0
2000,2000,-1570.0,1,-1.0,3570.0
2500,2500,-1980.0,1,-1.0,4480.0
3000,3000,-2370.0,1,1.0,5370.0
4000,4000,-3164.0,1,-1.0,7164.0
5000,5000,-3966.0,1,-1.0,8966.0
6000,6000,-4728.0,1,-1.0,10728.0
7000,7000,-5510.0,1,-1.0,12510.0
8000,8000,-6326.0,1,-1.0,14326.0
9000,9000,-7140.0,1,-1.0,16140.0
10000,10000,-7942.0,1,-1.0,17942.0
