steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.03733874829757,1,-1.03733874829757,2.0
2,2,-1.9507767516541865,1,-0.9134380033566165,4.0
3,3,-2.99654509008539,1,-1.0457683384312038,6.0
4,4,-4.080194709368887,1,-1.083649619283497,8.0
5,5,-4.933245412382297,1,-0.8530507030134097,10.0
6,6,-5.93312329000784,1,-0.9998778776255439,12.0
7,7,-6.823075984974445,1,-0.889952694966605,14.0
8,8,-7.786929434234438,1,-0.9638534492599927,16.0
9,9,-8.662973442676781,1,-0.8760440084423425,18.0
10,10,-9.54437024165623,1,-0.8813967989794479,20.0
12,12,-11.778878893205617,1,-1.0459217338919575,24.0
14,14,-13.896778372654886,1,-1.210072027386015,28.0
17,17,-17.058846092806323,1,-1.1907454838725162,34.0
20,20,-17.905754144477566,1,-0.8559261841421005,38.0
25,25,-19.063679480996207,1,0.7745715067594954,44.0
30,30,-23.933364786895083,1,-1.0498197793859905,54.0
40,40,-30.175882515693328,1,0.8740356649180953,70.0
50,50,-34.664132436751586,1,-1.0554618590283626,84.0
60,60,-40.410599344913514,1,1.132980749300827,100.0
70,70,-47.96774873770762,1,-0.9220764499672178,118.0
80,80,-57.560478403851995,1,-0.7916403681022965,138.0
90,90,-67.18113159562255,1,-1.0225768668629562,158.0
100,100,-76.82758558123302,1,-0.8951948733190243,178.0
120,120,-93.68023366351186,1,-1.1085656075745538,214.0
140,140,-111.66837966175595,1,-1.0438262335431854,252.0
170,170,-136.91335850240125,1,1.039740792100854,308.0
200,200,-160.47950081504564,1,-1.0465640585702443,362.0
250,250,-200.06572187044296,1,-0.8931799573890342,450.0
300,300,-249.61448051839,1,-1.0902916638315858,548.0
400,400,-331.9529046627358,1,-1.0030515960426005,730.0
500,500,-423.9847538181029,1,-0.8520561589919491,924.0
600,600,-510.56759476630975,1,-1.1087324902322373,1110.0
700,700,-595.1255326000453,1,1.135777713849682,1294.0
800,800,-682.9799129142037,1,-1.087643465768137,1482.0
900,900,-757.238135818346,1,-1.0439153891114992,1656.0
1000,1000,-843.1123963954929,1,-0.9358971098359012,1842.0
1200,1200,-998.745071301098,1,-0.9075363020547834,2200.0
1400,1400,-1158.790141830962,1,-1.0095634293443587,2560.0
1700,1700,-1395.8924386571189,1,0.7913864846976868,3100.0
2000,2000,-1640.103476471477,1,-1.0564702706662772,3644.0
2500,2500,-2042.204382432819,1,-0.9651192581228482,4544.0
3000,3000,-2454.730308651908,1,-0.9353464460455597,5456.0
4000,4000,-3282.780795711854,1,-0.9186464668265697,7282.0
5000,5000,-4054.530443855384,1,-1.0357432568028868,9052.0
6000,6000,-4848.204218883621,1,-0.9488544311011705,10850.0
7000,7000,-5667.5602502855245,1,0.9790338546014239,12672.0
8000,8000,-6428.966758201799,1,0.9160365088704802,14432.0
9000,9000,-7252.385172935673,1,1.255984622113254,16260.0
10000,10000,-8022.80236121447,1,-0.9728186871474209,18032.0
