steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-30.0,1,-30.0,2.0
2,2,-60.0,1,-30.0,4.0
3,3,-90.0,1,-30.0,6.0
4,4,-60.0,1,30.0,6.0
5,5,-90.0,1,-30.0,8.0
6,6,-120.0,1,-30.0,10.0
7,7,-150.0,1,-30.0,12.0
8,8,-180.0,1,-30.0,14.0
9,9,-210.0,1,-30.0,16.0
10,10,-240.0,1,-30.0,18.0
12,12,-300.0,1,-30.0,22.0
14,14,-360.0,1,-30.0,26.0
17,17,-450.0,1,-30.0,32.0
20,20,-540.0,1,-30.0,38.0
25,25,-690.0,1,-30.0,48.0
30,30,-780.0,1,-30.0,56.0
40,40,-1080.0,1,-30.0,76.0
50,50,-1320.0,1,30.0,94.0
60,60,-1620.0,1,-30.0,114.0
70,70,-1920.0,1,-30.0,134.0
80,80,-2100.0,1,-30.0,150.0
90,90,-2280.0,1,-30.0,166.0
100,100,-2520.0,1,-30.0,184.0
120,120,-3120.0,1,-30.0,224.0
140,140,-3600.0,1,-30.0,260.0
170,170,-4320.0,1,-30.0,314.0
200,200,-5160.0,1,-30.0,372.0
250,250,-6300.0,1,-30.0,460.0
300,300,-7440.0,1,-30.0,548.0
400,400,-9780.0,1,-30.0,726.0
500,500,-12060.0,1,-30.0,902.0
600,600,-14520.0,1,-30.0,1084.0
700,700,-17040.0,1,-30.0,1268.0
800,800,-19200.0,1,-30.0,1440.0
900,900,-21660.0,1,-30.0,1622.0
1000,1000,-23940.0,1,-30.0,1798.0
1200,1200,-28560.0,1,-30.0,2152.0
1400,1400,-33780.0,1,-30.0,2526.0
1700,1700,-40920.0,1,-30.0,3064.0
2000,2000,-47820.0,1,30.0,3594.0
2500,2500,-61200.0,1,-30.0,4540.0
3000,3000,-72840.0,1,-30.0,5428.0
4000,4000,-96660.0,1,-30.0,7222.0
5000,5000,-120420.0,1,-30.0,9014.0
6000,6000,-144300.0,1,-30.0,10810.0
7000,7000,-168540.0,1,-30.0,12618.0
8000,8000,-191160.0,1,-30.0,14372.0
9000,9000,-215460.0,1,-30.0,16182.0
10000,10000,-239820.0,1,-30.0,17994.0
