steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,1.4,1,1.0,0.6
3,3,1.4,1,0.0,1.6
4,4,1.9,1,0.5,2.1
5,5,1.9,1,0.0,3.1
6,6,2.3,1,0.4,3.7
7,7,2.5,1,0.2,4.5
8,8,2.5,1,0.0,5.5
9,9,3.5,1,1.0,5.5
10,10,3.7,1,0.2,6.3
12,12,5.6000000000000005,1,0.9,6.3999999999999995
14,14,6.300000000000001,1,0.6000000000000001,7.699999999999999
17,17,8.700000000000001,1,0.8,8.299999999999999
20,20,11.200000000000001,1,0.7000000000000001,8.799999999999999
25,25,15.000000000000002,1,1.0,9.999999999999998
30,30,17.2,1,0.30000000000000004,12.799999999999997
40,40,22.799999999999997,1,0.8,17.199999999999996
50,50,29.39999999999999,1,0.5,20.6
60,60,34.199999999999996,1,0.2,25.800000000000004
70,70,39.69999999999999,1,0.4,30.300000000000008
80,80,44.99999999999999,1,0.0,35.00000000000001
90,90,51.499999999999986,1,1.0,38.500000000000014
100,100,58.09999999999998,1,0.5,41.90000000000002
120,120,69.69999999999999,1,1.0,50.30000000000003
140,140,81.7,1,0.9,58.30000000000003
170,170,98.70000000000002,1,0.7000000000000001,71.3
200,200,111.00000000000004,1,0.1,88.99999999999997
250,250,137.10000000000005,1,0.6000000000000001,112.89999999999995
300,300,161.8000000000001,1,0.6000000000000001,138.19999999999993
400,400,214.3000000000001,1,0.4,185.69999999999993
500,500,265.40000000000003,1,0.2,234.59999999999997
600,600,315.3,1,0.4,284.70000000000005
700,700,365.9999999999999,1,0.6000000000000001,334.00000000000017
800,800,414.79999999999967,1,0.7000000000000001,385.2000000000004
900,900,464.69999999999976,1,0.6000000000000001,435.3000000000003
1000,1000,514.2999999999997,1,0.7000000000000001,485.70000000000044
1200,1200,684.5999999999958,1,0.9,515.4000000000045
1400,1400,877.0999999999959,1,1.0,522.9000000000044
1700,1700,1167.2999999999959,1,1.0,532.7000000000044
2000,2000,1457.8999999999955,1,1.0,542.1000000000043
2500,2500,1944.3999999999955,1,1.0,555.6000000000043
3000,3000,2434.9999999999964,1,1.0,565.0000000000045
4000,4000,3415.9999999999964,1,1.0,584.0000000000045
5000,5000,4398.099999999997,1,1.0,601.9000000000043
6000,6000,5380.999999999997,1,1.0,619.0000000000042
7000,7000,6351.499999999998,1,1.0,648.500000000004
8000,8000,7325.699999999999,1,1.0,674.300000000004
9000,9000,8303.699999999999,1,1.0,696.300000000004
10000,10000,9280.700000000004,1,1.0,719.3000000000037
