steps,episode,total_return,episode_len,episode_return,total_regret
1,1,21.000000000000004,1,21.000000000000004,0.29999999999999993
2,2,42.00000000000001,1,21.000000000000004,0.5999999999999999
3,3,60.000000000000014,1,18.000000000000004,0.9999999999999998
4,4,66.00000000000001,1,6.0,1.7999999999999998
5,5,66.00000000000001,1,0.0,2.8
6,6,66.00000000000001,1,0.0,3.8
7,7,90.00000000000001,1,24.0,4.0
8,8,105.00000000000001,1,15.0,4.5
9,9,105.00000000000001,1,0.0,5.5
10,10,105.00000000000001,1,0.0,6.5
12,12,144.0,1,9.000000000000002,7.2
14,14,198.0,1,24.0,7.4
17,17,222.0,1,0.0,9.6
20,20,279.0,1,6.0,10.7
25,25,384.0,1,0.0,12.199999999999998
30,30,459.0,1,18.000000000000004,14.699999999999998
40,40,600.0,1,12.0,20.000000000000007
50,50,765.0,1,21.000000000000004,24.500000000000007
60,60,924.0,1,18.000000000000004,29.2
70,70,1038.0,1,3.0,35.400000000000006
80,80,1227.0,1,30.0,39.10000000000001
90,90,1377.0,1,24.0,44.100000000000016
100,100,1599.0,1,30.0,46.70000000000002
120,120,1872.0,1,12.0,57.600000000000016
140,140,2262.0,1,9.000000000000002,64.60000000000002
170,170,2763.0,1,12.0,77.9
200,200,3180.0,1,18.000000000000004,94.00000000000004
250,250,3921.0,1,30.0,119.30000000000005
300,300,4695.0,1,3.0,143.50000000000009
400,400,6399.0,1,15.0,186.70000000000013
500,500,7953.0,1,21.000000000000004,234.9000000000001
600,600,9672.0,1,30.0,277.5999999999998
700,700,11214.0,1,30.0,326.19999999999976
800,800,12618.0,1,0.0,379.3999999999998
900,900,14064.0,1,6.0,431.20000000000005
1000,1000,15453.0,1,3.0,484.8999999999998
1200,1200,16935.0,1,3.0,635.499999999997
1400,1400,18828.0,1,30.0,772.3999999999937
1700,1700,27477.0,1,30.0,784.0999999999939
2000,2000,36288.0,1,30.0,790.3999999999941
2500,2500,50808.0,1,18.000000000000004,806.3999999999942
3000,3000,65538.0,1,30.0,815.3999999999941
4000,4000,94794.0,1,30.0,840.1999999999941
5000,5000,124146.0,1,30.0,861.799999999994
6000,6000,153207.0,1,0.0,893.0999999999937
7000,7000,182487.0,1,30.0,917.0999999999938
8000,8000,211764.0,1,30.0,941.1999999999942
9000,9000,241077.0,1,30.0,964.0999999999943
10000,10000,270438.0,1,30.0,985.3999999999944
