steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.004666666666666667,30,-0.004666666666666667,1,0
60,2,-0.009666666666666664,30,-0.005,2,0
90,3,-0.013333333333333327,30,-0.0036666666666666675,3,0
120,4,-0.020333333333333346,30,-0.006999999999999998,4,0
150,5,-0.025333333333333367,30,-0.005,5,0
180,6,-0.03033333333333339,30,-0.005,6,0
210,7,-0.034333333333333375,30,-0.004000000000000001,7,0
240,8,-0.03833333333333335,30,-0.004000000000000001,8,0
270,9,-0.04366666666666665,30,-0.005333333333333333,9,0
300,10,-0.04866666666666662,30,-0.005,10,0
360,12,-0.06033333333333322,30,-0.006333333333333332,12,0
420,14,-0.07133333333333333,30,-0.005666666666666666,14,0
510,17,-0.08633333333333355,30,-0.0036666666666666675,17,0
600,20,-0.10300000000000047,30,-0.006333333333333332,20,0
750,25,-0.12900000000000067,30,-0.0036666666666666675,25,0
900,30,-0.15566666666666662,30,-0.004666666666666667,30,0
1200,40,-0.2086666666666652,30,-0.0036666666666666675,40,0
1500,50,-0.26366666666666483,30,-0.005999999999999999,50,0
1800,60,-0.30866666666666737,30,-0.005333333333333333,60,0
2100,70,-0.361333333333337,30,-0.004666666666666667,70,0
2400,80,-0.40766666666667295,30,-0.004666666666666667,80,0
2700,90,-0.45300000000000884,30,-0.004666666666666667,90,0
3000,100,-0.5020000000000112,30,-0.0030000000000000005,100,0
3600,120,-0.6013333333333336,30,-0.005666666666666666,120,0
4200,140,-0.6959999999999898,30,-0.005,140,0
5100,170,-0.8389999999999741,30,-0.006333333333333332,170,0
6000,200,-0.9836666666666248,30,-0.004333333333333334,200,0
7500,250,-1.2279999999999314,30,-0.004333333333333334,250,0
9000,300,-1.4763333333332374,30,-0.0023333333333333335,300,0
12000,400,-1.960333333333184,30,-0.004000000000000001,400,0
15000,500,-2.4306666666664656,30,-0.004333333333333334,500,0
18000,600,-2.8926666666664147,30,-0.004666666666666667,600,0
21000,700,-3.331333333333033,30,-0.004666666666666667,700,0
24000,800,-3.7196666666663236,30,-0.004333333333333334,800,0
27000,900,-4.067999999999709,30,-0.0036666666666666675,900,0
30000,1000,-4.407333333333457,30,-0.0023333333333333335,1000,0
36000,1200,-5.191000000001082,30,-0.0036666666666666675,1200,0
42000,1400,-5.947333333335339,30,-0.004333333333333334,1400,0
51000,1700,-7.225333333336901,30,-0.004666666666666667,1700,0
60000,2000,-8.181666666671402,30,-0.0030000000000000005,2000,0
75000,2500,-10.165666666673827,30,-0.0036666666666666675,2500,0
90000,3000,-11.8616666666759,30,-0.0023333333333333335,3000,0
120000,4000,-15.964666666680914,30,-0.004333333333333334,4000,0
150000,5000,-20.318666666686234,30,-0.005333333333333333,5000,0
180000,6000,-25.055666666692023,30,-0.004666666666666667,6000,0
210000,7000,-29.29333333336387,30,-0.005,7000,0
240000,8000,-33.36300000002098,30,-0.002666666666666667,8000,0
270000,9000,-37.15533333331853,30,-0.004666666666666667,9000,0
300000,10000,-39.713666666627724,30,-0.0016666666666666666,10000,0
