steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.0,100,1.0
400,4,4.0,100,1.0
500,5,5.0,100,1.0
600,6,6.0,100,1.0
700,7,7.0,100,1.0
800,8,8.1,100,1.1
900,9,9.1,100,1.0
1000,10,10.2,100,1.1
1200,12,12.2,100,1.0
1400,14,14.2,100,1.0
1700,17,17.2,100,1.0
2000,20,20.3,100,1.1
2500,25,25.3,100,1.0
3000,30,30.400000000000002,100,1.1
4000,40,40.60000000000001,100,1.0
5000,50,51.000000000000014,100,1.1
6000,60,61.000000000000014,100,1.0
7000,70,71.20000000000002,100,1.0
8000,80,81.30000000000001,100,1.0
9000,90,91.30000000000001,100,1.0
10000,100,101.30000000000001,100,1.0
12000,120,121.30000000000001,100,1.0
14000,140,141.3,100,1.0
17000,170,171.4,100,1.0
20000,200,201.7,100,1.0
25000,250,251.7,100,1.0
30000,300,301.7,100,1.0
40000,400,401.7,100,1.0
50000,500,501.90000000000003,100,1.0
60000,600,601.9000000000001,100,1.0
70000,700,701.9000000000001,100,1.0
80000,800,801.9000000000001,100,1.0
90000,900,901.9000000000001,100,1.0
100000,1000,1002.0000000000001,100,1.0
