steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
101,1,-1.0,101,-1.0,0,2.0
202,2,-2.0,101,-1.0,0,4.0
303,3,-3.0,101,-1.0,0,6.0
404,4,-4.0,101,-1.0,0,8.0
505,5,-5.0,101,-1.0,0,10.0
606,6,-4.0,101,1.0,1,10.0
707,7,-3.0,101,1.0,2,10.0
808,8,-4.0,101,-1.0,2,12.0
909,9,-3.0,101,1.0,3,12.0
1010,10,-2.0,101,1.0,4,12.0
1212,12,-4.0,101,-1.0,4,16.0
1414,14,-6.0,101,-1.0,4,20.0
1717,17,-5.0,101,1.0,6,22.0
2020,20,-2.0,101,1.0,9,22.0
2525,25,-1.0,101,-1.0,12,26.0
3030,30,-4.0,101,-1.0,13,34.0
4040,40,-8.0,101,-1.0,16,48.0
5050,50,0.0,101,1.0,25,50.0
6060,60,0.0,101,-1.0,30,60.0
7070,70,-2.0,101,1.0,34,72.0
8080,80,-6.0,101,1.0,37,86.0
9090,90,-6.0,101,-1.0,42,96.0
10100,100,-8.0,101,1.0,46,108.0
12120,120,-8.0,101,-1.0,56,128.0
14140,140,-16.0,101,-1.0,62,156.0
17170,170,-6.0,101,1.0,82,176.0
20200,200,-14.0,101,-1.0,93,214.0
25250,250,-14.0,101,-1.0,118,264.0
30300,300,-18.0,101,1.0,141,318.0
40400,400,-18.0,101,1.0,191,418.0
50500,500,-16.0,101,1.0,242,516.0
60600,600,-20.0,101,-1.0,290,620.0
70700,700,-28.0,101,1.0,336,728.0
80800,800,-22.0,101,1.0,389,822.0
90900,900,-18.0,101,-1.0,441,918.0
101000,1000,-14.0,101,-1.0,493,1014.0
121200,1200,-14.0,101,1.0,593,1214.0
141400,1400,0.0,101,-1.0,700,1400.0
171700,1700,16.0,101,1.0,858,1684.0
202000,2000,-2.0,101,1.0,999,2002.0
252500,2500,-26.0,101,1.0,1237,2526.0
303000,3000,-8.0,101,1.0,1496,3008.0
404000,4000,14.0,101,1.0,2007,3986.0
505000,5000,6.0,101,1.0,2503,4994.0
606000,6000,-18.0,101,1.0,2991,6018.0
707000,7000,-62.0,101,-1.0,3469,7062.0
808000,8000,-40.0,101,-1.0,3980,8040.0
909000,9000,-38.0,101,1.0,4481,9038.0
1010000,10000,-36.0,101,-1.0,4982,10036.0
