steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-18.0,1,-1.0,38.0
25,25,-23.0,1,-1.0,48.0
30,30,-24.0,1,-1.0,54.0
40,40,-30.0,1,1.0,70.0
50,50,-38.0,1,-1.0,88.0
60,60,-48.0,1,-1.0,108.0
70,70,-58.0,1,-1.0,128.0
80,80,-68.0,1,-1.0,148.0
90,90,-76.0,1,-1.0,166.0
100,100,-86.0,1,-1.0,186.0
120,120,-100.0,1,-1.0,220.0
140,140,-114.0,1,-1.0,254.0
170,170,-136.0,1,-1.0,306.0
200,200,-162.0,1,-1.0,362.0
250,250,-206.0,1,-1.0,456.0
300,300,-246.0,1,-1.0,546.0
400,400,-326.0,1,1.0,726.0
500,500,-412.0,1,-1.0,912.0
600,600,-502.0,1,-1.0,1102.0
700,700,-580.0,1,1.0,1280.0
800,800,-660.0,1,-1.0,1460.0
900,900,-744.0,1,-1.0,1644.0
1000,1000,-824.0,1,-1.0,1824.0
1200,1200,-996.0,1,-1.0,2196.0
1400,1400,-1166.0,1,-1.0,2566.0
1700,1700,-1404.0,1,-1.0,3104.0
2000,2000,-1648.0,1,-1.0,3648.0
2500,2500,-2044.0,1,-1.0,4544.0
3000,3000,-2448.0,1,-1.0,5448.0
4000,4000,-3248.0,1,-1.0,7248.0
5000,5000,-4036.0,1,-1.0,9036.0
6000,6000,-4824.0,1,-1.0,10824.0
7000,7000,-5648.0,1,-1.0,12648.0
8000,8000,-6436.0,1,-1.0,14436.0
9000,9000,-7226.0,1,-1.0,16226.0
10000,10000,-8012.0,1,-1.0,18012.0
