steps,episode,total_return,episode_len,episode_return,total_regret
1,1,10.945726464442526,1,10.945726464442526,0.0
2,2,9.868793409836488,1,-1.076933054606038,2.0
3,3,-0.20671551272855204,1,-10.07550892256504,4.0
4,4,-0.18304064387152108,1,0.023674868857030962,6.0
5,5,-23.16058175609535,1,-22.97754111222383,6.0
6,6,-9.129218662386652,1,14.031363093708698,8.0
7,7,-13.660428461905884,1,-4.531209799519231,10.0
8,8,-12.884882435562789,1,0.7755460263430951,12.0
9,9,-17.60187714138981,1,-4.716994705827021,14.0
10,10,-36.636624803643414,1,-19.034747662253608,16.0
12,12,-17.408662860950464,1,19.547094221648692,20.0
14,14,-25.044286471303288,1,-7.6428817013748525,24.0
17,17,-31.813730190099644,1,0.23676752190613337,28.0
20,20,-77.16596118906354,1,-15.558392824913334,34.0
25,25,-123.93232954158691,1,-2.7784390529485017,42.0
30,30,-118.24560213556738,1,6.12589744544947,50.0
40,40,-149.63191224595553,1,-10.649790324123874,70.0
50,50,-212.7248854966981,1,-12.159684739468528,86.0
60,60,-227.7935419134928,1,-3.832986985393081,102.0
70,70,-176.87960296657928,1,12.387224972487727,122.0
80,80,-240.21109572139656,1,-22.19738367635179,140.0
90,90,-250.28202747726883,1,2.4864059483483034,156.0
100,100,-316.45071643526387,1,-16.550871830086724,172.0
120,120,-290.2597532368586,1,2.6258217752717843,210.0
140,140,-292.3674512144068,1,8.508524491207345,248.0
170,170,-309.4249138620001,1,11.301915406634862,308.0
200,200,-359.1308886604923,1,4.9464933626687415,364.0
250,250,-254.17383918510927,1,-0.8375927236206592,452.0
300,300,-147.82774666138516,1,2.892643949427615,542.0
400,400,-177.6086525779147,1,1.0114828609755566,720.0
500,500,-341.2115405577676,1,-8.123071205445083,896.0
600,600,-333.8875761351944,1,-7.071627847399407,1082.0
700,700,-242.2893879906779,1,4.603069669793195,1260.0
800,800,-169.47615629633725,1,-19.40111807160712,1438.0
900,900,-473.1341279721857,1,3.5994383067526696,1628.0
1000,1000,-410.8688069272539,1,-3.825109180613044,1800.0
1200,1200,-811.8171334052812,1,5.994396217040534,2146.0
1400,1400,-1219.565245754868,1,-14.661277397999099,2508.0
1700,1700,-1387.258429512815,1,-13.27779055944371,3044.0
2000,2000,-1516.6406096314968,1,-13.558939422455545,3588.0
2500,2500,-2254.245037608693,1,-6.648131716831366,4490.0
3000,3000,-2737.195676817854,1,-15.477063542489327,5392.0
4000,4000,-3520.187495289481,1,-2.925515615769738,7204.0
5000,5000,-4521.79591848426,1,-1.6049922976494488,8980.0
6000,6000,-5685.417813983835,1,13.519170419078215,10794.0
7000,7000,-6729.778474672036,1,7.114803907623983,12592.0
8000,8000,-8236.988142378872,1,-12.058578838556834,14402.0
9000,9000,-8981.512813455502,1,6.133240858792076,16180.0
10000,10000,-9965.66175544725,1,-0.38911717893146447,17960.0
