steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-30.0,1,-30.0,2.0
2,2,-60.0,1,-30.0,4.0
3,3,-90.0,1,-30.0,6.0
4,4,-60.0,1,30.0,6.0
5,5,-90.0,1,-30.0,8.0
6,6,-120.0,1,-30.0,10.0
7,7,-150.0,1,-30.0,12.0
8,8,-180.0,1,-30.0,14.0
9,9,-210.0,1,-30.0,16.0
10,10,-240.0,1,-30.0,18.0
12,12,-300.0,1,-30.0,22.0
14,14,-360.0,1,-30.0,26.0
17,17,-450.0,1,-30.0,32.0
20,20,-540.0,1,-30.0,38.0
25,25,-690.0,1,-30.0,48.0
30,30,-780.0,1,-30.0,56.0
40,40,-960.0,1,30.0,72.0
50,50,-1140.0,1,-30.0,88.0
60,60,-1440.0,1,-30.0,108.0
70,70,-1680.0,1,-30.0,126.0
80,80,-1920.0,1,-30.0,144.0
90,90,-2160.0,1,-30.0,162.0
100,100,-2460.0,1,-30.0,182.0
120,120,-3000.0,1,-30.0,220.0
140,140,-3540.0,1,-30.0,258.0
170,170,-4140.0,1,-30.0,308.0
200,200,-4620.0,1,-30.0,354.0
250,250,-5820.0,1,-30.0,444.0
300,300,-6900.0,1,-30.0,530.0
400,400,-9480.0,1,-30.0,716.0
500,500,-11580.0,1,-30.0,886.0
600,600,-13800.0,1,30.0,1060.0
700,700,-16140.0,1,-30.0,1238.0
800,800,-18480.0,1,-30.0,1416.0
900,900,-20940.0,1,30.0,1598.0
1000,1000,-23280.0,1,-30.0,1776.0
1200,1200,-28140.0,1,-30.0,2138.0
1400,1400,-32760.0,1,-30.0,2492.0
1700,1700,-39780.0,1,-30.0,3026.0
2000,2000,-47040.0,1,-30.0,3568.0
2500,2500,-58920.0,1,-30.0,4464.0
3000,3000,-71340.0,1,-30.0,5378.0
4000,4000,-94860.0,1,-30.0,7162.0
5000,5000,-118980.0,1,-30.0,8966.0
6000,6000,-143520.0,1,-30.0,10784.0
7000,7000,-167940.0,1,-30.0,12598.0
8000,8000,-190920.0,1,-30.0,14364.0
9000,9000,-213960.0,1,-30.0,16132.0
10000,10000,-238140.0,1,-30.0,17938.0
