steps,episode,total_return,episode_len,episode_return,total_regret
20,1,0.0,20,0.0,0.0
40,2,-8.0,20,-8.0,2.0
60,3,-10.0,20,-2.0,4.0
80,4,-16.0,20,-6.0,6.0
100,5,-12.0,20,4.0,6.0
120,6,-18.0,20,-6.0,8.0
140,7,-24.0,20,-6.0,10.0
160,8,-20.0,20,4.0,10.0
180,9,-18.0,20,2.0,12.0
200,10,-20.0,20,-2.0,14.0
240,12,-22.0,20,2.0,18.0
280,14,-30.0,20,-6.0,22.0
340,17,-24.0,20,0.0,24.0
400,20,-34.0,20,-2.0,26.0
500,25,-40.0,20,2.0,32.0
600,30,-46.0,20,2.0,38.0
800,40,-36.0,20,-4.0,50.0
1000,50,-42.0,20,-2.0,64.0
1200,60,-48.0,20,2.0,74.0
1400,70,-18.0,20,-2.0,80.0
1600,80,-16.0,20,2.0,86.0
1800,90,-18.0,20,2.0,100.0
2000,100,10.0,20,6.0,108.0
2400,120,12.0,20,-2.0,134.0
2800,140,28.0,20,2.0,148.0
3400,170,38.0,20,4.0,174.0
4000,200,-2.0,20,-8.0,210.0
5000,250,24.0,20,2.0,270.0
6000,300,22.0,20,2.0,312.0
8000,400,72.0,20,2.0,420.0
10000,500,40.0,20,-4.0,526.0
12000,600,78.0,20,4.0,622.0
14000,700,112.0,20,6.0,718.0
16000,800,180.0,20,4.0,804.0
18000,900,178.0,20,-4.0,888.0
20000,1000,206.0,20,-6.0,964.0
24000,1200,144.0,20,2.0,1138.0
28000,1400,232.0,20,0.0,1298.0
34000,1700,408.0,20,-2.0,1528.0
40000,2000,426.0,20,0.0,1766.0
50000,2500,522.0,20,2.0,2220.0
60000,3000,262.0,20,-2.0,2692.0
80000,4000,266.0,20,4.0,3584.0
100000,5000,526.0,20,10.0,4580.0
120000,6000,538.0,20,0.0,5558.0
140000,7000,428.0,20,4.0,6680.0
160000,8000,364.0,20,0.0,7646.0
180000,9000,552.0,20,2.0,8606.0
200000,10000,518.0,20,-2.0,9414.0
