steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.03,1,0.03,0.0
2,2,0.039,1,0.009000000000000001,0.7
3,3,0.042,1,0.003,1.6
4,4,0.045000000000000005,1,0.003,2.5
5,5,0.045000000000000005,1,0.0,3.5
6,6,0.07200000000000001,1,0.027,3.6
7,7,0.07200000000000001,1,0.0,4.6
8,8,0.09000000000000001,1,0.018000000000000002,5.0
9,9,0.11400000000000002,1,0.024,5.2
10,10,0.12600000000000003,1,0.012,5.8
12,12,0.13800000000000004,1,0.012,7.3999999999999995
14,14,0.14400000000000004,1,0.006,9.2
17,17,0.17700000000000005,1,0.018000000000000002,11.1
20,20,0.21000000000000008,1,0.012,13.0
25,25,0.31800000000000017,1,0.027,14.399999999999999
30,30,0.41700000000000026,1,0.027,16.099999999999998
40,40,0.5760000000000004,1,0.006,20.8
50,50,0.7230000000000005,1,0.0,25.9
60,60,0.8310000000000006,1,0.003,32.3
70,70,1.0050000000000008,1,0.021,36.5
80,80,1.1400000000000006,1,0.006,41.99999999999999
90,90,1.2900000000000003,1,0.021,46.999999999999986
100,100,1.4429999999999998,1,0.009000000000000001,51.89999999999999
120,120,1.670999999999999,1,0.009000000000000001,64.29999999999997
140,140,1.9829999999999983,1,0.015,73.89999999999996
170,170,2.432999999999997,1,0.015,88.89999999999993
200,200,2.867999999999996,1,0.003,104.39999999999989
250,250,3.623999999999994,1,0.024,129.19999999999987
300,300,4.325999999999994,1,0.03,155.79999999999984
400,400,5.780999999999992,1,0.003,207.2999999999999
500,500,7.36199999999999,1,0.006,254.6
600,600,8.942999999999993,1,0.012,301.9
700,700,10.356000000000005,1,0.003,354.8
800,800,11.781000000000013,1,0.003,407.29999999999995
900,900,13.233000000000017,1,0.018000000000000002,458.9000000000001
1000,1000,14.667000000000026,1,0.018000000000000002,511.09999999999974
1200,1200,19.494000000000153,1,0.021,550.2000000000007
1400,1400,24.99900000000036,1,0.03,566.7000000000016
1700,1700,33.81900000000069,1,0.03,572.7000000000016
2000,2000,42.45300000000102,1,0.03,584.9000000000017
2500,2500,57.17700000000158,1,0.03,594.1000000000016
3000,3000,71.91300000000213,1,0.03,602.9000000000016
4000,4000,101.03400000000323,1,0.03,632.2000000000015
5000,5000,130.0590000000043,1,0.03,664.7000000000016
6000,6000,159.4500000000051,1,0.03,685.0000000000019
7000,7000,188.68500000000589,1,0.03,710.5000000000024
8000,8000,217.76700000000656,1,0.03,741.1000000000021
9000,9000,247.16700000000745,1,0.03,761.100000000002
10000,10000,276.28799999998955,1,0.03,790.4000000000023
