steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.007500000000000003,20,-0.007500000000000003,1,0
40,2,-0.012000000000000007,20,-0.0045000000000000005,2,0
60,3,-0.01650000000000001,20,-0.0045000000000000005,3,0
80,4,-0.020000000000000014,20,-0.0035,4,0
100,5,-0.02500000000000002,20,-0.005000000000000001,5,0
120,6,-0.030500000000000024,20,-0.005500000000000001,6,0
140,7,-0.036000000000000025,20,-0.005500000000000001,7,0
160,8,-0.04000000000000003,20,-0.004,8,0
180,9,-0.04300000000000003,20,-0.003,9,0
200,10,-0.05050000000000004,20,-0.007500000000000003,10,0
240,12,-0.059500000000000046,20,-0.005000000000000001,12,0
280,14,-0.06900000000000005,20,-0.006000000000000002,14,0
340,17,-0.08400000000000006,20,-0.005500000000000001,17,0
400,20,-0.09700000000000007,20,-0.005000000000000001,20,0
500,25,-0.11950000000000009,20,-0.004,25,0
600,30,-0.1450000000000001,20,-0.006500000000000002,30,0
800,40,-0.19650000000000015,20,-0.004,40,0
1000,50,-0.2490000000000002,20,-0.0045000000000000005,50,0
1200,60,-0.2970000000000002,20,-0.0045000000000000005,60,0
1400,70,-0.34750000000000025,20,-0.004,70,0
1600,80,-0.4005000000000003,20,-0.005500000000000001,80,0
1800,90,-0.45050000000000034,20,-0.007000000000000003,90,0
2000,100,-0.4975000000000004,20,-0.003,100,0
2400,120,-0.5834999999999911,20,-0.005500000000000001,120,0
2800,140,-0.6824999999999802,20,-0.005000000000000001,140,0
3400,170,-0.8234999999999647,20,-0.006500000000000002,170,0
4000,200,-0.9764999999999479,20,-0.005500000000000001,200,0
5000,250,-1.211999999999922,20,-0.004,250,0
6000,300,-1.4549999999998953,20,-0.005000000000000001,300,0
8000,400,-1.9349999999998424,20,-0.004,400,0
10000,500,-2.388999999999965,20,-0.007000000000000003,500,0
12000,600,-2.8305000000001126,20,-0.0035,600,0
14000,700,-3.21250000000024,20,-0.003,700,0
16000,800,-3.5785000000003624,20,-0.004,800,0
18000,900,-3.9500000000004865,20,-0.003,900,0
20000,1000,-4.302000000000335,20,-0.004,1000,0
24000,1200,-5.054499999999918,20,-0.0025,1200,0
28000,1400,-5.71899999999955,20,-0.006000000000000002,1400,0
34000,1700,-6.659499999999029,20,-0.0015,1700,0
40000,2000,-7.339999999998652,20,-0.0025,2000,0
50000,2500,-9.685500000000346,20,-0.0025,2500,0
60000,3000,-12.130500000003334,20,-0.006000000000000002,3000,0
80000,4000,-17.98250000000344,20,-0.003,4000,0
100000,5000,-23.679499999990163,20,-0.005500000000000001,5000,0
120000,6000,-28.52099999997888,20,-0.006500000000000002,6000,0
140000,7000,-34.42499999998235,20,-0.006000000000000002,7000,0
160000,8000,-39.438500000006286,20,-0.0045000000000000005,8000,0
180000,9000,-42.779000000022236,20,-0.002,9000,0
200000,10000,-45.610000000035754,20,-0.0015,10000,0
