steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.005999999999999999,30,-0.005999999999999999,1,0
60,2,0.5602987846641211,30,0.5662987846641211,2,0
90,3,0.554632117997455,30,-0.005666666666666666,3,0
120,4,0.5499654513307889,30,-0.004666666666666667,4,0
150,5,0.5436321179974563,30,-0.006333333333333332,5,0
180,6,0.5372987846641236,30,-0.006333333333333332,6,0
210,7,0.5302987846641244,30,-0.006999999999999998,7,0
240,8,0.5252987846641249,30,-0.005,8,0
270,9,0.5206321179974588,30,-0.004666666666666667,9,0
300,10,0.5149654513307927,30,-0.005666666666666666,10,0
360,12,0.5046321179974605,30,-0.005666666666666666,12,0
420,14,0.4966321179974608,30,-0.004000000000000001,14,0
510,17,0.4812987846641266,30,-0.004666666666666667,17,0
600,20,0.46729878466412583,30,-0.006333333333333332,20,0
750,25,1.3810718020487518,30,-0.005333333333333333,25,0
900,30,0.2030962392688031,30,-0.005,30,0
1200,40,1.3400835560424949,30,-0.004000000000000001,40,0
1500,50,1.0751225406559115,30,-0.005333333333333333,48,0
1800,60,-0.8542690532049945,30,-0.005333333333333333,58,0
2100,70,-1.8074211214984186,30,-0.005,68,0
2400,80,-1.8570877881650798,30,-0.004000000000000001,78,0
2700,90,-1.9070877881650743,30,-0.005999999999999999,88,0
3000,100,-0.13805174467648107,30,1.8147027101552546,98,0
3600,120,1.6505660786202065,30,0.8030559536387267,118,0
4200,140,1.9285359226166505,30,-0.006333333333333332,135,0
5100,170,-0.8216168534379857,30,-0.006666666666666665,165,0
6000,200,-2.4608391779425403,30,-0.005666666666666666,194,0
7500,250,-5.972882015823749,30,-0.004666666666666667,242,0
9000,300,-6.7907785511361585,30,-0.004333333333333334,288,0
12000,400,-10.660832813387117,30,-0.004666666666666667,385,0
15000,500,-14.096797755540974,30,-0.005666666666666666,483,0
18000,600,-13.317965637929301,30,-0.005999999999999999,578,0
21000,700,-9.200095382375837,30,-0.006333333333333332,674,0
24000,800,-9.367355813925535,30,-0.006333333333333332,774,0
27000,900,-10.480007392199381,30,0.04557477020552333,872,0
30000,1000,-9.252411117904042,30,-0.0036666666666666675,971,0
36000,1200,-11.734354111477558,30,-0.004666666666666667,1165,0
42000,1400,-7.8596353938118115,30,0.014508035619012495,1363,0
51000,1700,-2.0726613361477755,30,-0.005333333333333333,1646,0
60000,2000,-2.4585863538585975,30,-0.005999999999999999,1939,0
75000,2500,6.5231003776054095,30,-0.2577823037122852,2428,0
90000,3000,10.971378796739643,30,-1.0305806497324292,2903,0
120000,4000,10.987686782700257,30,-0.006333333333333332,3860,0
150000,5000,13.027484457604297,30,2.5523367694559997,4815,0
180000,6000,1.045199687709502,30,0.8894293441469864,5775,0
210000,7000,28.22477536848045,30,-0.19709712972329052,6766,0
240000,8000,26.13623889450139,30,0.6689326307879462,7694,0
270000,9000,20.36721764147232,30,-0.004333333333333334,8655,0
300000,10000,3.121688108444758,30,-0.46575858098241546,9579,0
