steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-5.0,1,-1.0,10.0
6,6,-6.0,1,-1.0,12.0
7,7,-7.0,1,-1.0,14.0
8,8,-8.0,1,-1.0,16.0
9,9,-9.0,1,-1.0,18.0
10,10,-10.0,1,-1.0,20.0
12,12,-12.0,1,-1.0,24.0
14,14,-14.0,1,-1.0,28.0
17,17,-15.0,1,1.0,32.0
20,20,-16.0,1,1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-26.0,1,-1.0,56.0
40,40,-36.0,1,-1.0,76.0
50,50,-42.0,1,1.0,92.0
60,60,-52.0,1,-1.0,112.0
70,70,-60.0,1,-1.0,130.0
80,80,-70.0,1,-1.0,150.0
90,90,-78.0,1,-1.0,168.0
100,100,-84.0,1,-1.0,184.0
120,120,-100.0,1,-1.0,220.0
140,140,-118.0,1,-1.0,258.0
170,170,-136.0,1,-1.0,306.0
200,200,-162.0,1,-1.0,362.0
250,250,-204.0,1,-1.0,454.0
300,300,-248.0,1,-1.0,548.0
400,400,-330.0,1,-1.0,730.0
500,500,-418.0,1,-1.0,918.0
600,600,-500.0,1,-1.0,1100.0
700,700,-582.0,1,-1.0,1282.0
800,800,-664.0,1,1.0,1464.0
900,900,-744.0,1,-1.0,1644.0
1000,1000,-836.0,1,-1.0,1836.0
1200,1200,-994.0,1,-1.0,2194.0
1400,1400,-1152.0,1,-1.0,2552.0
1700,1700,-1394.0,1,-1.0,3094.0
2000,2000,-1642.0,1,-1.0,3642.0
2500,2500,-2024.0,1,-1.0,4524.0
3000,3000,-2404.0,1,-1.0,5404.0
4000,4000,-3180.0,1,-1.0,7180.0
5000,5000,-3974.0,1,-1.0,8974.0
6000,6000,-4786.0,1,-1.0,10786.0
7000,7000,-5614.0,1,-1.0,12614.0
8000,8000,-6434.0,1,-1.0,14434.0
9000,9000,-7244.0,1,-1.0,16244.0
10000,10000,-8008.0,1,-1.0,18008.0
