steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.8796857226902033,1,-0.8796857226902033,2.0
2,2,-1.5573950403730186,1,-0.6777093176828153,4.0
3,3,-2.261732503832393,1,-0.7043374634593746,6.0
4,4,-3.6744750589295396,1,-1.4127425550971464,8.0
5,5,-4.666691937317499,1,-0.9922168783879596,10.0
6,6,-5.591002930957784,1,-0.9243109936402847,12.0
7,7,-6.590788293511205,1,-0.9997853625534209,14.0
8,8,-7.465071172550164,1,-0.8742828790389593,16.0
9,9,-7.094314867863127,1,0.37075630468703724,16.0
10,10,-7.916886952123331,1,-0.8225720842602038,18.0
12,12,-9.511996356119994,1,-0.5662648946046336,22.0
14,14,-11.16258718997106,1,-0.7071663549724856,26.0
17,17,-12.203606958507589,1,0.889754474448144,30.0
20,20,-15.509026136966447,1,-0.947388159796501,36.0
25,25,-21.419589705010665,1,-1.1735526463435761,46.0
30,30,-26.57340727338136,1,-0.7964557576321184,56.0
40,40,-29.344931838978553,1,-1.4934438401548586,68.0
50,50,-37.424582060193565,1,-1.094261595064345,86.0
60,60,-45.33048029817464,1,1.073564966633614,104.0
70,70,-56.83943191442285,1,-1.2014107769068867,124.0
80,80,-64.22628355432471,1,1.1076810056981157,142.0
90,90,-73.39482271175825,1,-0.7745648628159931,160.0
100,100,-83.57973619637164,1,-1.1732810250119663,180.0
120,120,-95.3987827784576,1,-0.9324979756034174,212.0
140,140,-113.10449209425816,1,-0.6480151405207977,250.0
170,170,-143.4811047218309,1,-0.9486061468639565,310.0
200,200,-167.90636133516188,1,-1.0122842853841567,366.0
250,250,-204.10583173067533,1,-1.1555069875609314,454.0
300,300,-239.07920061067213,1,-0.9141256829628885,542.0
400,400,-313.92075835294247,1,-1.1556464191220819,716.0
500,500,-394.69053561152987,1,-0.7989115637876358,892.0
600,600,-474.85016115298185,1,-1.5763810899240338,1068.0
700,700,-551.5716693293222,1,-1.2978496429527853,1240.0
800,800,-633.2267352207007,1,-1.196108219806212,1416.0
900,900,-715.7558160131416,1,-0.8742971048371647,1604.0
1000,1000,-793.716045688318,1,-0.46011811102515754,1778.0
1200,1200,-953.1125078679528,1,-1.2890936035291543,2134.0
1400,1400,-1097.3700457330508,1,-1.0537367733300782,2482.0
1700,1700,-1335.8599189240042,1,-1.0016253538913638,3020.0
2000,2000,-1578.2707478578193,1,-1.0316790461540954,3558.0
2500,2500,-1987.5148510128056,1,-0.778052441299168,4462.0
3000,3000,-2400.8826203091858,1,-0.9069948533408844,5378.0
4000,4000,-3214.1407596719473,1,-0.335832191036199,7178.0
5000,5000,-4042.039242018833,1,-0.48178695520378856,9002.0
6000,6000,-4803.899484109623,1,-0.7427422779085437,10770.0
7000,7000,-5585.542953797765,1,-1.2688443086219252,12554.0
8000,8000,-6383.385148680624,1,-0.9777858077304916,14360.0
9000,9000,-7172.811224994227,1,0.9972272381686846,16164.0
10000,10000,-7986.291824825542,1,-1.234007668485356,17968.0
