steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-3.0,1,1.0,8.0
6,6,-2.0,1,1.0,8.0
7,7,-3.0,1,-1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-3.0,1,1.0,12.0
10,10,-4.0,1,-1.0,14.0
12,12,-6.0,1,-1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-9.0,1,1.0,26.0
20,20,-10.0,1,-1.0,30.0
25,25,-15.0,1,-1.0,40.0
30,30,-20.0,1,-1.0,50.0
40,40,-26.0,1,-1.0,66.0
50,50,-32.0,1,-1.0,82.0
60,60,-40.0,1,-1.0,100.0
70,70,-48.0,1,-1.0,118.0
80,80,-56.0,1,-1.0,136.0
90,90,-66.0,1,-1.0,156.0
100,100,-74.0,1,-1.0,174.0
120,120,-94.0,1,-1.0,214.0
140,140,-104.0,1,-1.0,244.0
170,170,-134.0,1,-1.0,304.0
200,200,-154.0,1,-1.0,354.0
250,250,-198.0,1,-1.0,448.0
300,300,-232.0,1,-1.0,532.0
400,400,-310.0,1,-1.0,710.0
500,500,-388.0,1,-1.0,888.0
600,600,-468.0,1,-1.0,1068.0
700,700,-556.0,1,-1.0,1256.0
800,800,-630.0,1,1.0,1430.0
900,900,-706.0,1,1.0,1606.0
1000,1000,-794.0,1,-1.0,1794.0
1200,1200,-972.0,1,1.0,2172.0
1400,1400,-1128.0,1,-1.0,2528.0
1700,1700,-1370.0,1,-1.0,3070.0
2000,2000,-1616.0,1,1.0,3616.0
2500,2500,-2014.0,1,-1.0,4514.0
3000,3000,-2420.0,1,-1.0,5420.0
4000,4000,-3228.0,1,-1.0,7228.0
5000,5000,-4008.0,1,-1.0,9008.0
6000,6000,-4770.0,1,-1.0,10770.0
7000,7000,-5552.0,1,-1.0,12552.0
8000,8000,-6354.0,1,-1.0,14354.0
9000,9000,-7172.0,1,-1.0,16172.0
10000,10000,-7952.0,1,-1.0,17952.0
