steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.1,1,0.1,0.9
2,2,0.4,1,0.30000000000000004,1.6
3,3,1.3,1,0.9,1.7000000000000002
4,4,2.3,1,1.0,1.7000000000000002
5,5,3.3,1,1.0,1.7000000000000002
6,6,3.8,1,0.5,2.2
7,7,4.2,1,0.4,2.8000000000000003
8,8,5.0,1,0.8,3.0
9,9,5.0,1,0.0,4.0
10,10,5.1,1,0.1,4.9
12,12,5.699999999999999,1,0.30000000000000004,6.300000000000001
14,14,6.799999999999999,1,0.30000000000000004,7.200000000000001
17,17,7.799999999999999,1,0.0,9.200000000000001
20,20,9.299999999999999,1,0.7000000000000001,10.700000000000001
25,25,12.2,1,0.5,12.8
30,30,14.299999999999999,1,0.0,15.700000000000001
40,40,20.299999999999994,1,0.4,19.700000000000006
50,50,26.699999999999992,1,0.0,23.300000000000008
60,60,33.0,1,1.0,27.000000000000004
70,70,40.1,1,0.5,29.900000000000006
80,80,46.60000000000001,1,0.5,33.400000000000006
90,90,51.000000000000014,1,0.7000000000000001,39.0
100,100,56.30000000000002,1,1.0,43.699999999999996
120,120,67.10000000000002,1,0.1,52.89999999999999
140,140,77.10000000000002,1,0.5,62.9
170,170,95.90000000000006,1,1.0,74.09999999999997
200,200,111.70000000000006,1,0.30000000000000004,88.29999999999997
250,250,134.8000000000001,1,0.1,115.19999999999993
300,300,159.70000000000022,1,0.7000000000000001,140.2999999999999
400,400,209.90000000000026,1,0.2,190.09999999999985
500,500,260.20000000000016,1,0.0,239.79999999999995
600,600,317.19999999999993,1,0.7000000000000001,282.79999999999995
700,700,368.49999999999955,1,0.1,331.50000000000034
800,800,418.2999999999997,1,0.4,381.70000000000016
900,900,467.1999999999996,1,0.9,432.8000000000003
1000,1000,514.2,1,0.2,485.79999999999984
1200,1200,676.4999999999934,1,1.0,523.5000000000001
1400,1400,869.6999999999936,1,1.0,530.3
1700,1700,1165.6999999999932,1,1.0,534.3
2000,2000,1460.5999999999935,1,1.0,539.3999999999999
2500,2500,1945.8999999999937,1,1.0,554.0999999999997
3000,3000,2431.899999999994,1,1.0,568.0999999999995
4000,4000,3408.6999999999944,1,1.0,591.2999999999995
5000,5000,4376.099999999995,1,1.0,623.8999999999991
6000,6000,5350.099999999999,1,1.0,649.899999999999
7000,7000,6324.699999999996,1,1.0,675.299999999999
8000,8000,7295.899999999992,1,1.0,704.0999999999991
9000,9000,8270.099999999993,1,1.0,729.8999999999993
10000,10000,9241.499999999998,1,1.0,758.499999999999
