steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1000.0,1,1000.0,0.0
2,2,1600.0,1,600.0000000000001,0.3999999999999999
3,3,2400.0,1,800.0,0.5999999999999999
4,4,2800.0,1,400.0,1.1999999999999997
5,5,3200.0,1,400.0,1.7999999999999998
6,6,3500.0,1,300.00000000000006,2.5
7,7,4500.0,1,1000.0,2.5
8,8,5400.0,1,900.0,2.6
9,9,5700.0,1,300.00000000000006,3.3
10,10,5800.0,1,100.0,4.2
12,12,6700.0,1,0.0,5.3
14,14,8200.0,1,700.0000000000001,5.8
17,17,10300.0,1,600.0000000000001,6.699999999999999
20,20,12500.0,1,600.0000000000001,7.499999999999998
25,25,15100.0,1,400.0,9.899999999999997
30,30,16900.0,1,900.0,13.099999999999996
40,40,21200.0,1,300.00000000000006,18.799999999999997
50,50,27900.0,1,900.0,22.099999999999998
60,60,31400.0,1,100.0,28.599999999999998
70,70,37600.0,1,800.0,32.400000000000006
80,80,41800.0,1,100.0,38.2
90,90,46800.0,1,700.0000000000001,43.2
100,100,51800.0,1,200.0,48.2
120,120,60200.0,1,900.0,59.8
140,140,72800.0,1,200.0,67.19999999999999
170,170,88100.0,1,1000.0,81.89999999999998
200,200,103900.0,1,600.0000000000001,96.09999999999998
250,250,132400.0,1,1000.0,117.59999999999997
300,300,161600.0,1,300.00000000000006,138.39999999999995
400,400,209600.0,1,900.0,190.39999999999986
500,500,257200.0,1,0.0,242.79999999999987
600,600,302800.0,1,800.0,297.19999999999993
700,700,351900.0,1,100.0,348.0999999999998
800,800,398300.0,1,600.0000000000001,401.69999999999976
900,900,445000.0,1,0.0,454.9999999999998
1000,1000,496200.0,1,500.0,503.79999999999967
1200,1200,647400.0,1,800.0,552.6000000000082
1400,1400,804400.0,1,800.0,595.600000000017
1700,1700,1038900.0,1,800.0,661.1000000000299
2000,2000,1275000.0,1,800.0,725.000000000043
2500,2500,1666100.0,1,800.0,833.9000000000646
3000,3000,2057300.0,1,800.0,942.7000000000862
4000,4000,2849200.0,1,800.0,1150.80000000013
5000,5000,3636000.0,1,800.0,1364.0000000001726
6000,6000,4518100.0,1,1000.0,1481.900000000126
7000,7000,5493800.0,1,1000.0,1506.200000000126
8000,8000,6461800.0,1,1000.0,1538.2000000001267
9000,9000,7434800.0,1,1000.0,1565.2000000001267
10000,10000,8410800.0,1,1000.0,1589.2000000001262
