steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-1.0,1,1.0,4.0
4,4,-2.0,1,-1.0,6.0
5,5,-3.0,1,-1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-5.0,1,1.0,14.0
10,10,-4.0,1,1.0,14.0
12,12,-2.0,1,1.0,14.0
14,14,-4.0,1,-1.0,18.0
17,17,-7.0,1,-1.0,24.0
20,20,-10.0,1,-1.0,30.0
25,25,-13.0,1,-1.0,38.0
30,30,-18.0,1,-1.0,48.0
40,40,-26.0,1,-1.0,66.0
50,50,-34.0,1,-1.0,84.0
60,60,-40.0,1,-1.0,100.0
70,70,-50.0,1,-1.0,120.0
80,80,-58.0,1,-1.0,138.0
90,90,-64.0,1,1.0,154.0
100,100,-74.0,1,-1.0,174.0
120,120,-92.0,1,-1.0,212.0
140,140,-108.0,1,-1.0,248.0
170,170,-132.0,1,-1.0,302.0
200,200,-154.0,1,-1.0,354.0
250,250,-192.0,1,-1.0,442.0
300,300,-230.0,1,-1.0,530.0
400,400,-318.0,1,-1.0,718.0
500,500,-408.0,1,-1.0,908.0
600,600,-492.0,1,-1.0,1092.0
700,700,-552.0,1,-1.0,1252.0
800,800,-628.0,1,-1.0,1428.0
900,900,-710.0,1,-1.0,1610.0
1000,1000,-796.0,1,-1.0,1796.0
1200,1200,-950.0,1,-1.0,2150.0
1400,1400,-1100.0,1,-1.0,2500.0
1700,1700,-1346.0,1,-1.0,3046.0
2000,2000,-1588.0,1,-1.0,3588.0
2500,2500,-1992.0,1,-1.0,4492.0
3000,3000,-2390.0,1,-1.0,5390.0
4000,4000,-3184.0,1,-1.0,7184.0
5000,5000,-3996.0,1,-1.0,8996.0
6000,6000,-4772.0,1,-1.0,10772.0
7000,7000,-5558.0,1,-1.0,12558.0
8000,8000,-6362.0,1,-1.0,14362.0
9000,9000,-7170.0,1,-1.0,16170.0
10000,10000,-7998.0,1,-1.0,17998.0
