steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.7571223857965617,1,-0.7571223857965617,2.0
2,2,-0.5752016810296423,1,0.18192070476691935,2.0
3,3,-0.4521325073070781,1,0.1230691737225642,4.0
4,4,-6.216655379725163,1,-5.764522872418085,6.0
5,5,-10.341127273645046,1,-4.124471893919884,8.0
6,6,-13.389621839095827,1,-3.0484945654507816,10.0
7,7,-17.630749869025365,1,-4.241128029929538,12.0
8,8,-14.823999381767573,1,2.806750487257793,14.0
9,9,-18.982483303209527,1,-4.158483921441954,16.0
10,10,-17.81242530140347,1,1.1700580018060585,18.0
12,12,-20.850097349108275,1,3.289183855564084,22.0
14,14,-27.118815216146864,1,-3.0283419534662745,26.0
17,17,-29.608039633683255,1,0.23032497051514222,32.0
20,20,-30.36265744969759,1,1.3127457465723498,38.0
25,25,-28.29738329577698,1,-1.9042108320061795,48.0
30,30,-36.187558480983,1,-4.604807489987824,58.0
40,40,-40.01383171225133,1,-0.8273802056599073,76.0
50,50,-60.68578394601899,1,-2.098030676529688,96.0
60,60,-80.35246611778946,1,-0.8494987512102068,116.0
70,70,-79.24464942728463,1,0.06797973474152941,130.0
80,80,-96.3980310539183,1,-0.20901416653723814,148.0
90,90,-103.1115853009704,1,-3.524822825181098,164.0
100,100,-120.05165135770173,1,1.524829059356678,178.0
120,120,-124.68738967625617,1,4.211776713449218,216.0
140,140,-131.14305305218636,1,3.30933481469477,248.0
170,170,-145.6854664460192,1,4.524732350849154,302.0
200,200,-175.8007586095563,1,-5.128822799293842,356.0
250,250,-229.67061196096125,1,-0.5889865594044765,448.0
300,300,-282.608565933427,1,-2.532443852031127,534.0
400,400,-406.8098899902025,1,1.215549808041637,720.0
500,500,-504.7694625110738,1,-1.0552534464050711,900.0
600,600,-599.7134892954534,1,-0.22012279320192152,1080.0
700,700,-707.0609149748566,1,-3.11667963116554,1262.0
800,800,-808.021365954788,1,1.578378266141247,1442.0
900,900,-922.7353471016966,1,-2.114184965389109,1618.0
1000,1000,-969.1552019934252,1,0.6734226542902246,1798.0
1200,1200,-1172.0807852638097,1,-4.931968818250711,2152.0
1400,1400,-1318.1479601152234,1,0.48833346301077585,2516.0
1700,1700,-1588.006022847027,1,-4.595599178821761,3068.0
2000,2000,-1867.7410086543182,1,1.8044140374964832,3620.0
2500,2500,-2388.3920394355746,1,-1.3187712882184606,4540.0
3000,3000,-2710.2147099607955,1,-4.687057632934571,5444.0
4000,4000,-3570.6855434853605,1,-4.562290700986502,7192.0
5000,5000,-4491.835716474916,1,1.3459690881522348,9010.0
6000,6000,-5141.171153382468,1,-2.4149240737408646,10758.0
7000,7000,-5950.652886072904,1,-2.0558447864004483,12552.0
8000,8000,-6750.940093049694,1,-2.409312207261293,14354.0
9000,9000,-7657.919321288007,1,-3.6845675413065253,16130.0
10000,10000,-8529.021105950214,1,1.914695475680403,17966.0
