steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-0.03,1,-0.03,2.0
2,2,-0.06,1,-0.03,4.0
3,3,-0.09,1,-0.03,6.0
4,4,-0.12,1,-0.03,8.0
5,5,-0.15,1,-0.03,10.0
6,6,-0.18,1,-0.03,12.0
7,7,-0.21,1,-0.03,14.0
8,8,-0.18,1,0.03,14.0
9,9,-0.21,1,-0.03,16.0
10,10,-0.24,1,-0.03,18.0
12,12,-0.30000000000000004,1,-0.03,22.0
14,14,-0.3600000000000001,1,-0.03,26.0
17,17,-0.4500000000000002,1,-0.03,32.0
20,20,-0.4800000000000002,1,0.03,36.0
25,25,-0.6300000000000003,1,-0.03,46.0
30,30,-0.7800000000000005,1,-0.03,56.0
40,40,-1.0800000000000007,1,-0.03,76.0
50,50,-1.320000000000001,1,-0.03,94.0
60,60,-1.500000000000001,1,-0.03,110.0
70,70,-1.8000000000000014,1,-0.03,130.0
80,80,-2.0400000000000014,1,-0.03,148.0
90,90,-2.28,1,-0.03,166.0
100,100,-2.579999999999998,1,-0.03,186.0
120,120,-2.9399999999999955,1,0.03,218.0
140,140,-3.3599999999999928,1,0.03,252.0
170,170,-4.019999999999989,1,-0.03,304.0
200,200,-4.919999999999996,1,-0.03,364.0
250,250,-6.120000000000006,1,-0.03,454.0
300,300,-7.500000000000018,1,-0.03,550.0
400,400,-9.95999999999998,1,-0.03,732.0
500,500,-12.179999999999932,1,-0.03,906.0
600,600,-14.759999999999877,1,-0.03,1092.0
700,700,-17.03999999999989,1,-0.03,1268.0
800,800,-19.079999999999966,1,-0.03,1436.0
900,900,-21.360000000000053,1,-0.03,1612.0
1000,1000,-23.760000000000144,1,0.03,1792.0
1200,1200,-28.740000000000332,1,-0.03,2158.0
1400,1400,-33.360000000000504,1,0.03,2512.0
1700,1700,-40.68000000000078,1,-0.03,3056.0
2000,2000,-48.06000000000106,1,-0.03,3602.0
2500,2500,-59.16000000000148,1,-0.03,4472.0
3000,3000,-70.86000000000192,1,-0.03,5362.0
4000,4000,-95.04000000000283,1,-0.03,7168.0
5000,5000,-118.80000000000373,1,-0.03,8960.0
6000,6000,-143.28000000000466,1,-0.03,10776.0
7000,7000,-165.6600000000055,1,-0.03,12522.0
8000,8000,-189.0000000000064,1,-0.03,14300.0
9000,9000,-213.1800000000073,1,-0.03,16106.0
10000,10000,-236.6400000000082,1,-0.03,17888.0
