steps,episode,total_return,episode_len,episode_return,total_regret
40,1,0.0,40,0.0,2.0
80,2,8.0,40,8.0,2.0
120,3,8.0,40,0.0,2.0
160,4,12.0,40,4.0,4.0
200,5,-2.0,40,-14.0,4.0
240,6,-4.0,40,-2.0,6.0
280,7,6.0,40,10.0,6.0
320,8,2.0,40,-4.0,6.0
360,9,4.0,40,2.0,8.0
400,10,6.0,40,2.0,8.0
480,12,2.0,40,2.0,10.0
560,14,-10.0,40,-2.0,14.0
680,17,-8.0,40,-2.0,14.0
800,20,-8.0,40,-4.0,14.0
1000,25,-16.0,40,6.0,18.0
1200,30,-18.0,40,2.0,22.0
1600,40,-10.0,40,4.0,32.0
2000,50,-32.0,40,-6.0,44.0
2400,60,-24.0,40,4.0,50.0
2800,70,-16.0,40,-6.0,52.0
3200,80,-18.0,40,2.0,66.0
3600,90,-14.0,40,-8.0,78.0
4000,100,-24.0,40,-8.0,92.0
4800,120,-58.0,40,2.0,114.0
5600,140,-84.0,40,0.0,134.0
6800,170,-134.0,40,-6.0,162.0
8000,200,-154.0,40,-6.0,198.0
10000,250,-140.0,40,-10.0,236.0
12000,300,-146.0,40,0.0,290.0
16000,400,-196.0,40,-2.0,394.0
20000,500,-262.0,40,-16.0,514.0
24000,600,-236.0,40,-16.0,612.0
28000,700,-322.0,40,-6.0,714.0
32000,800,-264.0,40,4.0,814.0
36000,900,-356.0,40,4.0,916.0
40000,1000,-302.0,40,2.0,1006.0
48000,1200,-358.0,40,-4.0,1192.0
56000,1400,-260.0,40,-8.0,1390.0
68000,1700,-438.0,40,2.0,1668.0
80000,2000,-408.0,40,-6.0,2026.0
100000,2500,-328.0,40,2.0,2538.0
120000,3000,-512.0,40,-8.0,3050.0
160000,4000,-450.0,40,2.0,4040.0
200000,5000,-288.0,40,-14.0,5014.0
240000,6000,-142.0,40,6.0,6006.0
280000,7000,-230.0,40,18.0,6902.0
320000,8000,-44.0,40,-2.0,7848.0
360000,9000,96.0,40,4.0,8886.0
400000,10000,74.0,40,6.0,9858.0
