steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.3308367348947818,1,0.3308367348947818,0.19999999999999996
2,2,1.175412934010355,1,0.8445761991155731,0.5999999999999999
3,3,1.8639998057578229,1,0.6885868717474679,0.7999999999999998
4,4,3.0828663271921846,1,1.2188665214343615,0.8999999999999998
5,5,3.2520730678304153,1,0.16920674063823077,1.5999999999999996
6,6,3.4764685379540183,1,0.22439547012360295,1.8999999999999995
7,7,3.1743847751836567,1,-0.3020837627703616,2.8999999999999995
8,8,4.134466115689207,1,0.9600813405055508,2.8999999999999995
9,9,5.149397807866044,1,1.0149316921768368,3.0999999999999996
10,10,5.640277931361955,1,0.4908801234959112,3.5999999999999996
12,12,5.632085724077925,1,0.04897352903060448,5.1
14,14,6.424239288459578,1,0.15770769037514284,5.699999999999999
17,17,8.444647516043723,1,1.1234581704844382,6.699999999999999
20,20,9.29127136504046,1,0.119422830922362,8.399999999999999
25,25,11.76164470230033,1,0.024527606159075285,10.699999999999998
30,30,15.504785640528418,1,0.5092559955149542,11.999999999999996
40,40,20.605408867416457,1,-0.5029955866203407,16.599999999999994
50,50,25.715355786300528,1,-0.20079237956709156,21.59999999999999
60,60,27.858510543604755,1,-0.5783182440728346,27.899999999999995
70,70,31.580947650808845,1,0.6449197481469602,33.19999999999999
80,80,36.94365301071048,1,0.041765254590938224,38.99999999999998
90,90,41.94044570686196,1,-0.12344551134970723,44.79999999999997
100,100,48.70730779237937,1,0.9634465987890618,48.69999999999997
120,120,59.281152176106445,1,-0.19961231810666002,58.29999999999997
140,140,72.13980275624434,1,0.4718231275203887,66.29999999999997
170,170,84.95512819083179,1,-0.3014947718594164,83.39999999999996
200,200,102.0454932091533,1,1.1398647848105932,96.59999999999995
250,250,126.3158684185853,1,0.2850147350923423,122.69999999999993
300,300,150.5195126074848,1,0.29383624051058577,144.29999999999995
400,400,207.46866486756034,1,1.2380815434039063,191.09999999999994
500,500,260.8253698197825,1,1.3729503621092896,238.99999999999994
600,600,302.2368098330445,1,1.3577418012891722,293.09999999999985
700,700,347.4655624940664,1,0.39106277221398955,343.89999999999975
800,800,395.8312163841936,1,0.3819818101909433,393.59999999999974
900,900,446.58437446124054,1,0.8121778795070453,441.59999999999985
1000,1000,492.55066007647616,1,-0.29835238472934256,495.89999999999964
1200,1200,638.0388856703534,1,0.3913536769421282,547.2000000000068
1400,1400,791.2782108854109,1,0.178390073573238,589.5000000000155
1700,1700,1018.9906663833317,1,0.8783059735369902,662.600000000028
2000,2000,1282.088626324061,1,1.2945383035811955,705.4000000000369
2500,2500,1750.967892138035,1,0.8849900350280198,725.3000000000386
3000,3000,2243.37878672291,1,0.5026325861187873,743.2000000000381
4000,4000,3211.44267693255,1,1.5786906287767497,772.7000000000376
5000,5000,4172.744893477795,1,1.027973840823531,808.7000000000394
6000,6000,5152.923001529533,1,1.5866142463159427,832.7000000000397
7000,7000,6125.326387202895,1,0.8784551138415088,856.1000000000403
8000,8000,7105.972172799343,1,1.484554621477086,880.4000000000415
9000,9000,8079.861083729138,1,0.6083658167970281,906.1000000000415
10000,10000,9045.488661827021,1,0.32010741374631413,928.0000000000415
