steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
20,1,-0.005500000000000001,20,-0.005500000000000001,1,0
40,2,-0.010500000000000006,20,-0.005000000000000001,2,0
60,3,-0.014000000000000009,20,-0.0035,3,0
80,4,-0.01650000000000001,20,-0.0025,4,0
100,5,-0.022000000000000016,20,-0.005500000000000001,5,0
120,6,-0.02650000000000002,20,-0.0045000000000000005,6,0
140,7,-0.03200000000000002,20,-0.005500000000000001,7,0
160,8,-0.037000000000000026,20,-0.005000000000000001,8,0
180,9,-0.04200000000000003,20,-0.005000000000000001,9,0
200,10,-0.048500000000000036,20,-0.006500000000000002,10,0
240,12,-0.05450000000000004,20,-0.0035,12,0
280,14,-0.06700000000000005,20,-0.007000000000000003,14,0
340,17,-0.08350000000000006,20,-0.007000000000000003,17,0
400,20,-0.09950000000000007,20,-0.006500000000000002,20,0
500,25,-0.1235000000000001,20,-0.0045000000000000005,25,0
600,30,-0.1465000000000001,20,-0.006500000000000002,30,0
800,40,-0.20000000000000015,20,-0.006000000000000002,40,0
1000,50,-0.25100000000000017,20,-0.006000000000000002,50,0
1200,60,-0.2960000000000002,20,-0.004,60,0
1400,70,-0.34900000000000025,20,-0.006000000000000002,70,0
1600,80,-0.4000000000000003,20,-0.007000000000000003,80,0
1800,90,-0.45250000000000035,20,-0.006500000000000002,90,0
2000,100,-0.5044999999999998,20,-0.007000000000000003,100,0
2400,120,-0.5909999999999903,20,-0.003,120,0
2800,140,-0.6829999999999802,20,-0.004,140,0
3400,170,-0.8339999999999635,20,-0.005500000000000001,170,0
4000,200,-0.9829999999999471,20,-0.005500000000000001,200,0
5000,250,-1.2274999999999203,20,-0.0035,250,0
6000,300,-1.474999999999893,20,-0.006500000000000002,300,0
8000,400,-1.9714999999998384,20,-0.004,400,0
10000,500,-2.487999999999998,20,-0.0045000000000000005,500,0
12000,600,-2.984000000000164,20,-0.005000000000000001,600,0
14000,700,-3.4685000000003257,20,-0.005000000000000001,700,0
16000,800,-3.976000000000495,20,-0.006500000000000002,800,0
18000,900,-4.459500000000248,20,-0.004,900,0
20000,1000,-4.944999999999979,20,-0.0035,1000,0
24000,1200,-5.852499999999476,20,-0.0035,1200,0
28000,1400,-6.684499999999015,20,-0.005500000000000001,1400,0
34000,1700,-8.102999999998412,20,-0.0025,1700,0
40000,2000,-9.209999999999765,20,-0.0035,2000,0
50000,2500,-11.240500000002246,20,-0.0035,2500,0
60000,3000,-14.347500000006043,20,-0.006000000000000002,3000,0
80000,4000,-20.52699999999751,20,-0.005500000000000001,4000,0
100000,5000,-25.48299999998596,20,-0.0035,5000,0
120000,6000,-30.802499999973563,20,-0.0045000000000000005,6000,0
140000,7000,-35.88749999998933,20,-0.005000000000000001,7000,0
160000,8000,-40.43050000001102,20,-0.004,8000,0
180000,9000,-43.09400000002374,20,-0.001,9000,0
200000,10000,-44.255000000029284,20,-0.0005,10000,0
