steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
3,1,1.0,3,1.0,1,0.0
6,2,0.0,3,-1.0,1,2.0
9,3,1.0,3,1.0,2,2.0
12,4,2.0,3,1.0,3,2.0
15,5,3.0,3,1.0,4,2.0
18,6,2.0,3,-1.0,4,4.0
21,7,3.0,3,1.0,5,4.0
24,8,4.0,3,1.0,6,4.0
27,9,3.0,3,-1.0,6,6.0
30,10,2.0,3,-1.0,6,8.0
36,12,4.0,3,1.0,8,8.0
42,14,6.0,3,1.0,10,8.0
51,17,5.0,3,-1.0,11,12.0
60,20,4.0,3,1.0,12,16.0
75,25,3.0,3,1.0,14,22.0
90,30,4.0,3,-1.0,17,26.0
120,40,0.0,3,-1.0,20,40.0
150,50,4.0,3,1.0,27,46.0
180,60,4.0,3,1.0,32,56.0
210,70,8.0,3,1.0,39,62.0
240,80,8.0,3,1.0,44,72.0
270,90,12.0,3,-1.0,51,78.0
300,100,10.0,3,-1.0,55,90.0
360,120,10.0,3,1.0,65,110.0
420,140,10.0,3,1.0,75,130.0
510,170,4.0,3,1.0,87,166.0
600,200,10.0,3,-1.0,105,190.0
750,250,18.0,3,1.0,134,232.0
900,300,20.0,3,-1.0,160,280.0
1200,400,12.0,3,1.0,206,388.0
1500,500,2.0,3,-1.0,251,498.0
1800,600,-10.0,3,1.0,295,610.0
2100,700,-22.0,3,-1.0,339,722.0
2400,800,-18.0,3,-1.0,391,818.0
2700,900,-36.0,3,-1.0,432,936.0
3000,1000,-42.0,3,1.0,479,1042.0
3600,1200,-42.0,3,1.0,579,1242.0
4200,1400,-24.0,3,-1.0,688,1424.0
5100,1700,-12.0,3,1.0,844,1712.0
6000,2000,-16.0,3,-1.0,992,2016.0
7500,2500,-50.0,3,-1.0,1225,2550.0
9000,3000,-36.0,3,1.0,1482,3036.0
12000,4000,-68.0,3,-1.0,1966,4068.0
15000,5000,-22.0,3,-1.0,2489,5022.0
18000,6000,-42.0,3,1.0,2979,6042.0
21000,7000,-50.0,3,-1.0,3475,7050.0
24000,8000,36.0,3,1.0,4018,7964.0
27000,9000,60.0,3,-1.0,4530,8940.0
30000,10000,56.0,3,-1.0,5028,9944.0
