steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,-2.0,1,-1.0,4.0
3,3,-3.0,1,-1.0,6.0
4,4,-4.0,1,-1.0,8.0
5,5,-3.0,1,1.0,8.0
6,6,-4.0,1,-1.0,10.0
7,7,-5.0,1,-1.0,12.0
8,8,-6.0,1,-1.0,14.0
9,9,-7.0,1,-1.0,16.0
10,10,-8.0,1,-1.0,18.0
12,12,-10.0,1,-1.0,22.0
14,14,-12.0,1,-1.0,26.0
17,17,-15.0,1,-1.0,32.0
20,20,-16.0,1,-1.0,36.0
25,25,-21.0,1,-1.0,46.0
30,30,-26.0,1,-1.0,56.0
40,40,-34.0,1,-1.0,74.0
50,50,-34.0,1,-1.0,84.0
60,60,-42.0,1,-1.0,102.0
70,70,-48.0,1,-1.0,118.0
80,80,-56.0,1,-1.0,136.0
90,90,-60.0,1,1.0,150.0
100,100,-68.0,1,-1.0,168.0
120,120,-82.0,1,1.0,202.0
140,140,-96.0,1,1.0,236.0
170,170,-118.0,1,-1.0,288.0
200,200,-142.0,1,-1.0,342.0
250,250,-184.0,1,-1.0,434.0
300,300,-222.0,1,-1.0,522.0
400,400,-310.0,1,-1.0,710.0
500,500,-388.0,1,-1.0,888.0
600,600,-470.0,1,-1.0,1070.0
700,700,-532.0,1,-1.0,1232.0
800,800,-616.0,1,-1.0,1416.0
900,900,-692.0,1,-1.0,1592.0
1000,1000,-774.0,1,-1.0,1774.0
1200,1200,-924.0,1,1.0,2124.0
1400,1400,-1078.0,1,-1.0,2478.0
1700,1700,-1304.0,1,-1.0,3004.0
2000,2000,-1532.0,1,-1.0,3532.0
2500,2500,-1924.0,1,1.0,4424.0
3000,3000,-2302.0,1,-1.0,5302.0
4000,4000,-3030.0,1,1.0,7030.0
5000,5000,-3732.0,1,-1.0,8732.0
6000,6000,-4376.0,1,1.0,10376.0
7000,7000,-5062.0,1,-1.0,12062.0
8000,8000,-5644.0,1,-1.0,13644.0
9000,9000,-6208.0,1,-1.0,15208.0
10000,10000,-6808.0,1,-1.0,16808.0
