steps,episode,total_return,episode_len,episode_return,total_regret
1,1,18.000000000000004,1,18.000000000000004,0.3999999999999999
2,2,24.000000000000004,1,6.0,1.2
3,3,39.0,1,15.0,1.7
4,4,42.0,1,3.0,2.6
5,5,51.0,1,9.000000000000002,3.3
6,6,54.0,1,3.0,4.2
7,7,63.0,1,9.000000000000002,4.9
8,8,72.0,1,9.000000000000002,5.6000000000000005
9,9,90.0,1,18.000000000000004,6.0
10,10,114.0,1,24.0,6.2
12,12,138.0,1,0.0,7.4
14,14,165.0,1,24.0,8.5
17,17,219.0,1,27.0,9.7
20,20,249.0,1,21.000000000000004,11.700000000000001
25,25,357.0,1,3.0,13.100000000000001
30,30,399.0,1,3.0,16.700000000000003
40,40,513.0,1,12.0,22.900000000000002
50,50,666.0,1,3.0,27.800000000000004
60,60,813.0,1,6.0,32.900000000000006
70,70,996.0,1,30.0,36.80000000000002
80,80,1068.0,1,0.0,44.40000000000001
90,90,1200.0,1,24.0,50.000000000000014
100,100,1335.0,1,15.0,55.5
120,120,1659.0,1,12.0,64.70000000000002
140,140,1953.0,1,9.000000000000002,74.90000000000002
170,170,2358.0,1,30.0,91.40000000000002
200,200,2868.0,1,30.0,104.39999999999999
250,250,3588.0,1,24.0,130.39999999999998
300,300,4356.0,1,21.000000000000004,154.80000000000004
400,400,5679.0,1,9.000000000000002,210.7000000000001
500,500,7083.0,1,30.0,263.90000000000015
600,600,8565.0,1,27.0,314.5
700,700,10071.0,1,0.0,364.30000000000007
800,800,11676.0,1,30.0,410.80000000000007
900,900,13227.0,1,12.0,459.1000000000002
1000,1000,14703.0,1,30.0,509.90000000000026
1200,1200,15972.0,1,6.0,667.5999999999916
1400,1400,17205.0,1,18.000000000000004,826.4999999999828
1700,1700,21993.0,1,18.000000000000004,966.8999999999751
2000,2000,27300.0,1,12.0,1089.9999999999864
2500,2500,36267.0,1,18.000000000000004,1291.1000000000288
3000,3000,48771.0,1,27.0,1374.3000000000002
4000,4000,75663.0,1,30.0,1477.89999999993
5000,5000,104898.0,1,30.0,1503.3999999999294
6000,6000,134046.0,1,30.0,1531.799999999929
7000,7000,163314.0,1,30.0,1556.1999999999289
8000,8000,192705.0,1,30.0,1576.4999999999286
9000,9000,222054.0,1,30.0,1598.1999999999293
10000,10000,251304.0,1,30.0,1623.1999999999287
