steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
50,1,1.5392803969104814,50,1.5392803969104814,1,0
100,2,1.533280396910482,50,-0.0059999999999999975,2,0
150,3,-0.04249692478173572,50,-1.5757773216922182,3,0
200,4,-0.04829692478173569,50,-0.005799999999999998,4,0
250,5,-0.05249692478173566,50,-0.004200000000000001,5,0
300,6,-0.05829692478173563,50,-0.005799999999999998,6,0
350,7,-0.06329692478173563,50,-0.004999999999999999,7,0
400,8,-0.06829692478173577,50,-0.004999999999999999,8,0
450,9,-0.07329692478173591,50,-0.004999999999999999,9,0
500,10,-0.07849692478173606,50,-0.005199999999999999,10,0
600,12,-0.08829692478173634,50,-0.005199999999999999,12,0
700,14,-0.09889692478173664,50,-0.005599999999999998,14,0
850,17,-0.6460644908873999,50,-0.056259870735918864,17,0
1000,20,-0.6606644908873983,50,-0.005199999999999999,20,0
1250,25,0.17510721384923653,50,-0.0046,25,0
1500,30,0.6607326828882749,50,-0.004999999999999999,30,0
2000,40,0.6093326828882806,50,-0.0046,39,0
2500,50,-0.3746532972045371,50,-0.004999999999999999,49,0
3000,60,0.18941688993257635,50,-0.005599999999999998,59,0
3500,70,0.14021688993257495,50,-0.005199999999999999,69,0
4000,80,0.08541688993257338,50,-0.005799999999999998,79,0
4500,90,0.0027308781059725102,50,-0.0059999999999999975,87,0
5000,100,0.5111327826025139,50,-0.006399999999999997,96,0
6000,120,0.40933278260252515,50,-0.0046,115,0
7000,140,-1.0583138276822193,50,-0.006199999999999997,135,0
8500,170,-0.8550599741479912,50,-0.0038000000000000013,164,0
10000,200,-6.7236636615693275,50,0.27996150453865665,193,0
12500,250,-9.882659963943935,50,-0.004999999999999999,242,0
15000,300,-6.095483501385806,50,-0.0046,292,0
20000,400,-6.565080904659321,50,-0.004999999999999999,391,0
25000,500,-0.19663234565854595,50,-0.0046,489,0
30000,600,8.15956085527301,50,-0.004999999999999999,588,0
35000,700,6.205102114036901,50,-2.7748245753365848,686,0
40000,800,3.4644473388884247,50,-2.235726146353617,780,0
45000,900,4.492190887571257,50,-0.006199999999999997,872,0
50000,1000,1.8261631410762904,50,0.03082541967056293,965,0
60000,1200,9.774949404303511,50,1.3032181618052974,1163,0
70000,1400,4.951500374453752,50,-0.006199999999999997,1355,0
85000,1700,2.038387638578607,50,-0.004000000000000001,1649,0
100000,2000,0.17458763857880183,50,-0.007399999999999995,1937,0
125000,2500,-3.92732543572453,50,-0.0071999999999999955,2398,0
150000,3000,-3.8498946754263246,50,-0.005799999999999998,2839,0
200000,4000,-7.331328420442155,50,-0.005199999999999999,3789,0
250000,5000,-16.837166002665985,50,-0.005799999999999998,4750,0
300000,6000,0.09912510550191361,50,0.3986898335270659,5704,0
350000,7000,-7.2269371920360905,50,-0.0053999999999999986,6637,0
400000,8000,-19.907940961539747,50,-0.0048,7547,0
450000,9000,3.0628162988044427,50,0.9620101366940887,8479,0
500000,10000,3.597159357576179,50,-0.004999999999999999,9456,0
