steps,episode,total_return,episode_len,episode_return,total_perfect,total_regret
15,1,1.0,15,1.0,1,0.0
30,2,0.0,15,-1.0,1,2.0
45,3,1.0,15,1.0,2,2.0
60,4,0.0,15,-1.0,2,4.0
75,5,1.0,15,1.0,3,4.0
90,6,2.0,15,1.0,4,4.0
105,7,3.0,15,1.0,5,4.0
120,8,2.0,15,-1.0,5,6.0
135,9,3.0,15,1.0,6,6.0
150,10,2.0,15,-1.0,6,8.0
180,12,4.0,15,1.0,8,8.0
210,14,2.0,15,-1.0,8,12.0
255,17,3.0,15,1.0,10,14.0
300,20,2.0,15,-1.0,11,18.0
375,25,3.0,15,-1.0,14,22.0
450,30,4.0,15,1.0,17,26.0
600,40,4.0,15,-1.0,22,36.0
750,50,10.0,15,1.0,30,40.0
900,60,14.0,15,1.0,37,46.0
1050,70,14.0,15,-1.0,42,56.0
1200,80,12.0,15,1.0,46,68.0
1350,90,8.0,15,-1.0,49,82.0
1500,100,8.0,15,-1.0,54,92.0
1800,120,14.0,15,-1.0,67,106.0
2100,140,14.0,15,1.0,77,126.0
2550,170,14.0,15,1.0,92,156.0
3000,200,22.0,15,-1.0,111,178.0
3750,250,24.0,15,-1.0,137,226.0
4500,300,26.0,15,-1.0,163,274.0
6000,400,20.0,15,-1.0,210,380.0
7500,500,26.0,15,1.0,263,474.0
9000,600,20.0,15,1.0,310,580.0
10500,700,34.0,15,1.0,367,666.0
12000,800,38.0,15,-1.0,419,762.0
13500,900,38.0,15,-1.0,469,862.0
15000,1000,44.0,15,-1.0,522,956.0
18000,1200,46.0,15,-1.0,623,1154.0
21000,1400,64.0,15,-1.0,732,1336.0
25500,1700,72.0,15,1.0,886,1628.0
30000,2000,40.0,15,-1.0,1020,1960.0
37500,2500,10.0,15,-1.0,1255,2490.0
45000,3000,16.0,15,1.0,1508,2984.0
60000,4000,76.0,15,1.0,2038,3924.0
75000,5000,58.0,15,1.0,2529,4942.0
90000,6000,22.0,15,1.0,3011,5978.0
105000,7000,20.0,15,-1.0,3510,6980.0
120000,8000,-4.0,15,1.0,3998,8004.0
135000,9000,-36.0,15,-1.0,4482,9036.0
150000,10000,28.0,15,1.0,5014,9972.0
