steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.9733972227400659,1,0.9733972227400659,0.0
2,2,2.0713437012167093,1,1.0979464784766435,0.0
3,3,1.2370926362159862,1,-0.834251065000723,2.0
4,4,0.27965691069347376,1,-0.9574357255225124,4.0
5,5,-0.7457017419573223,1,-1.025358652650796,6.0
6,6,0.13065084670155813,1,0.8763525886588804,6.0
7,7,-0.8020845218864535,1,-0.9327353685880116,8.0
8,8,-1.6659424862069359,1,-0.8638579643204823,10.0
9,9,-0.6192971465495352,1,1.0466453396574007,10.0
10,10,-1.7773680022920553,1,-1.1580708557425201,12.0
12,12,-3.704644898498003,1,-1.0226433509761108,16.0
14,14,-5.441072658606494,1,-0.9584521298408664,20.0
17,17,-8.511883358795545,1,-1.1395165425822025,26.0
20,20,-11.446825772603525,1,-1.0427309345214222,32.0
25,25,-14.439291072933663,1,-1.0851567701948708,40.0
30,30,-19.70658767788595,1,-1.1329806441584365,50.0
40,40,-30.20758341351603,1,-1.0521977316285749,70.0
50,50,-39.94286638938523,1,-0.984047616657753,90.0
60,60,-49.93203200852782,1,-1.0444122756286651,110.0
70,70,-59.948851780663254,1,-1.148513951733519,130.0
80,80,-66.10613421446976,1,-1.1135357552180387,146.0
90,90,-74.23110475719558,1,-0.9103377156898277,164.0
100,100,-82.20069545936501,1,0.8291192049268012,182.0
120,120,-93.4763719938704,1,0.9447272740132515,214.0
140,140,-97.52955629861731,1,-1.1286718790869295,238.0
170,170,-117.79850268166993,1,0.954407241524926,288.0
200,200,-143.55336073892553,1,-1.1374826276720957,344.0
250,250,-181.21004133582443,1,-1.0001639775589988,432.0
300,300,-214.26010793053626,1,-0.810526144063252,516.0
400,400,-291.70611448685014,1,-1.0667477346428063,692.0
500,500,-374.780674778546,1,-1.0565455734724987,874.0
600,600,-454.9226415981855,1,-1.1820323891271647,1056.0
700,700,-531.3902209958604,1,-1.0089248141899196,1232.0
800,800,-617.2958139398527,1,-0.9030545608813008,1418.0
900,900,-701.5737883064688,1,1.089836696874551,1602.0
1000,1000,-764.6970627129999,1,1.0557063560820574,1766.0
1200,1200,-924.1955278464013,1,0.9475998625114672,2124.0
1400,1400,-1073.664617165148,1,-0.9336717534721833,2474.0
1700,1700,-1304.0094297525955,1,0.8711122696694977,3004.0
2000,2000,-1522.22426095419,1,-0.9166012692311041,3524.0
2500,2500,-1881.7702700696584,1,-1.0401176522447264,4386.0
3000,3000,-2234.7516176637205,1,-1.2088719297213202,5238.0
4000,4000,-2897.5477868124876,1,-0.9613873284798415,6896.0
5000,5000,-3515.2773711198497,1,-1.031937763288858,8508.0
6000,6000,-4098.433274780483,1,1.0848912574900822,10092.0
7000,7000,-4660.418836260392,1,0.7709972612051378,11650.0
8000,8000,-5204.823240343819,1,-0.9043083188015641,13194.0
9000,9000,-5711.179160849771,1,-0.883729646560152,14698.0
10000,10000,-6228.1860986530555,1,-1.0095016562869779,16218.0
